,season,player,team,games_played,minutes_per_game,Number of Games,percentage of games missed,height,weight,player_salary,number of games missed
0,00-01,A.C. Green,MIA,82,17.2,82,0.0,6-9,220,2,0
1,00-01,Aaron McKie,PHI,76,31.5,82,7.3,6-5,209,1,6
2,01-02,Aaron McKie,PHI,48,30.6,82,41.5,6-5,209,4,34
3,02-03,Aaron McKie,PHI,80,29.7,82,2.4,6-5,209,4,2
4,03-04,Aaron McKie,PHI,75,28.1,82,8.5,6-5,209,5,7
5,04-05,Aaron McKie,PHI,68,16.4,82,17.1,6-5,209,5,14
6,00-01,Aaron Williams,BRK,82,28.5,82,0.0,6-9,200,2,0
7,01-02,Aaron Williams,BRK,82,18.9,82,0.0,6-9,200,2,0
8,02-03,Aaron Williams,BRK,81,19.7,82,1.2,6-9,200,2,1
9,03-04,Aaron Williams,BRK,72,18.6,82,12.2,6-9,200,2,10
10,05-06,Aaron Williams,NOP,47,16.8,82,42.7,6-9,200,3,35
11,00-01,Adam Keefe,GSW,67,12.5,82,18.3,6-4,185,3,15
12,00-01,Adonal Foyle,GSW,58,25.1,82,29.3,6-10,250,3,24
13,01-02,Adonal Foyle,GSW,79,18.8,82,3.7,6-10,250,4,3
14,02-03,Adonal Foyle,GSW,82,21.8,82,0.0,6-10,250,4,0
15,03-04,Adonal Foyle,GSW,44,13.0,82,46.3,6-10,250,4,38
16,04-05,Adonal Foyle,GSW,78,21.8,82,4.9,6-10,250,6,4
17,05-06,Adonal Foyle,GSW,77,23.7,82,6.1,6-10,250,7,5
18,06-07,Adonal Foyle,GSW,48,9.9,82,41.5,6-10,250,8,34
19,07-08,Adonal Foyle,ORL,82,9.4,82,0.0,6-10,250,10,0
20,00-01,Alan Henderson,ATL,73,24.8,82,11.0,6-9,235,5,9
21,02-03,Alan Henderson,ATL,82,18.2,82,0.0,6-9,235,7,0
22,04-05,Alan Henderson,DAL,78,15.4,82,4.9,6-9,235,8,4
23,05-06,Alan Henderson,CLE,51,10.4,82,37.8,6-9,235,1,31
24,00-01,Allan Houston,NYK,78,36.6,82,4.9,6-6,200,9,4
25,01-02,Allan Houston,NYK,77,37.8,82,6.1,6-6,200,12,5
26,02-03,Allan Houston,NYK,82,37.9,82,0.0,6-6,200,14,0
27,03-04,Allan Houston,NYK,50,36.0,82,39.0,6-6,200,15,32
28,04-05,Allan Houston,NYK,20,26.6,82,75.6,6-6,200,17,62
29,00-01,Allen Iverson,PHI,71,42.0,82,13.4,6-0,165,10,11
30,01-02,Allen Iverson,PHI,60,43.7,82,26.8,6-0,165,11,22
31,02-03,Allen Iverson,PHI,82,42.5,82,0.0,6-0,165,12,0
32,03-04,Allen Iverson,PHI,48,42.5,82,41.5,6-0,165,13,34
33,04-05,Allen Iverson,PHI,75,42.3,82,8.5,6-0,165,14,7
34,05-06,Allen Iverson,PHI,72,43.1,82,12.2,6-0,165,16,10
35,06-07,Allen Iverson,DEN,65,42.5,82,20.7,6-0,165,17,17
36,07-08,Allen Iverson,DEN,82,41.8,82,0.0,6-0,165,19,0
37,08-09,Allen Iverson,DET,57,36.7,82,30.5,6-0,165,20,25
38,09-10,Allen Iverson,PHI,28,30.9,82,65.9,6-0,165,1,54
39,01-02,Alonzo Mourning,MIA,75,32.7,82,8.5,6-10,275,18,7
40,04-05,Alonzo Mourning,MIA,37,19.0,82,54.9,6-10,275,5,45
41,05-06,Alonzo Mourning,MIA,65,20.0,82,20.7,6-10,275,5,17
42,06-07,Alonzo Mourning,MIA,77,20.4,82,6.1,6-10,275,6,5
43,00-01,Alvin Williams,TOR,82,29.2,82,0.0,6-5,180,2,0
44,01-02,Alvin Williams,TOR,82,35.7,82,0.0,6-5,180,5,0
45,02-03,Alvin Williams,TOR,78,33.8,82,4.9,6-5,180,5,4
46,03-04,Alvin Williams,TOR,56,30.9,82,31.7,6-5,180,5,26
47,00-01,Andrew DeClercq,ORL,67,13.5,82,18.3,6-10,230,1,15
48,01-02,Andrew DeClercq,ORL,61,10.4,82,25.6,6-10,230,2,21
49,02-03,Andrew DeClercq,ORL,77,17.2,82,6.1,6-10,230,3,5
50,03-04,Andrew DeClercq,ORL,71,17.1,82,13.4,6-10,230,2,11
51,00-01,Antawn Jamison,GSW,82,41.4,82,0.0,6-8,223,2,0
52,01-02,Antawn Jamison,GSW,82,37.0,82,0.0,6-8,223,3,0
53,02-03,Antawn Jamison,GSW,82,39.3,82,0.0,6-8,223,10,0
54,03-04,Antawn Jamison,DAL,82,29.0,82,0.0,6-8,223,11,0
55,04-05,Antawn Jamison,WAS,68,38.3,82,17.1,6-8,223,12,14
56,05-06,Antawn Jamison,WAS,82,40.1,82,0.0,6-8,223,13,0
57,06-07,Antawn Jamison,WAS,70,38.0,82,14.6,6-8,223,15,12
58,07-08,Antawn Jamison,WAS,79,38.7,82,3.7,6-8,223,16,3
59,08-09,Antawn Jamison,WAS,81,38.2,82,1.2,6-8,223,9,1
60,09-10,Antawn Jamison,CLE,66,36.5,82,19.5,6-8,223,11,16
61,10-11,Antawn Jamison,CLE,56,32.9,82,31.7,6-8,223,13,26
62,11-12,Antawn Jamison,CLE,65,33.1,66,1.5,6-8,223,15,1
63,12-13,Antawn Jamison,LAL,76,21.5,82,7.3,6-8,223,1,6
64,00-01,Anthony Johnson,CLE,53,9.6,82,35.4,6-3,190,1,29
65,02-03,Anthony Johnson,BRK,66,12.8,82,19.5,6-3,190,0,16
66,03-04,Anthony Johnson,IND,73,21.9,82,11.0,6-3,190,0,9
67,04-05,Anthony Johnson,IND,63,27.8,82,23.2,6-3,190,2,19
68,05-06,Anthony Johnson,IND,75,26.4,82,8.5,6-3,190,2,7
69,06-07,Anthony Johnson,ATL,67,19.4,82,18.3,6-3,190,2,15
70,07-08,Anthony Johnson,SAC,69,22.2,82,15.9,6-3,190,2,13
71,08-09,Anthony Johnson,ORL,80,18.5,82,2.4,6-3,190,1,2
72,00-01,Anthony Peeler,MIN,75,28.3,82,8.5,6-4,208,2,7
73,01-02,Anthony Peeler,MIN,82,25.1,82,0.0,6-4,208,2,0
74,02-03,Anthony Peeler,MIN,82,27.4,82,0.0,6-4,208,3,0
75,03-04,Anthony Peeler,SAC,75,18.6,82,8.5,6-4,208,1,7
76,04-05,Anthony Peeler,WAS,40,13.2,82,51.2,6-4,208,1,42
77,00-01,Antoine Walker,BOS,81,41.9,82,1.2,6-8,224,10,1
78,01-02,Antoine Walker,BOS,81,42.0,82,1.2,6-8,224,11,1
79,02-03,Antoine Walker,BOS,78,41.5,82,4.9,6-8,224,12,4
80,03-04,Antoine Walker,DAL,82,34.6,82,0.0,6-8,224,13,0
81,04-05,Antoine Walker,BOS,77,38.4,82,6.1,6-8,224,14,5
82,05-06,Antoine Walker,MIA,82,26.8,82,0.0,6-8,224,6,0
83,06-07,Antoine Walker,MIA,78,23.3,82,4.9,6-8,224,7,4
84,07-08,Antoine Walker,MIN,46,19.4,82,43.9,6-8,224,8,36
85,00-01,Antonio Daniels,SAS,79,26.1,82,3.7,6-4,195,2,3
86,01-02,Antonio Daniels,SAS,82,26.5,82,0.0,6-4,195,3,0
87,02-03,Antonio Daniels,POR,67,13.0,82,18.3,6-4,195,3,15
88,03-04,Antonio Daniels,OKC,71,21.3,82,13.4,6-4,195,2,11
89,04-05,Antonio Daniels,OKC,75,27.0,82,8.5,6-4,195,2,7
90,05-06,Antonio Daniels,WAS,79,28.9,82,3.7,6-4,195,5,3
91,06-07,Antonio Daniels,WAS,80,22.0,82,2.4,6-4,195,5,2
92,07-08,Antonio Daniels,WAS,71,30.4,82,13.4,6-4,195,5,11
93,08-09,Antonio Daniels,NOP,74,13.8,82,9.8,6-4,195,6,8
94,00-01,Antonio Davis,TOR,78,35.0,82,4.9,6-9,215,5,4
95,01-02,Antonio Davis,TOR,77,38.7,82,6.1,6-9,215,11,5
96,02-03,Antonio Davis,TOR,53,35.7,82,35.4,6-9,215,12,29
97,03-04,Antonio Davis,CHI,80,32.1,82,2.4,6-9,215,12,2
98,04-05,Antonio Davis,CHI,72,25.6,82,12.2,6-9,215,12,10
99,05-06,Antonio Davis,TOR,44,21.4,82,46.3,6-9,215,13,38
100,00-01,Antonio McDyess,DEN,70,36.5,82,14.6,6-9,220,10,12
101,03-04,Antonio McDyess,PHX,42,22.1,82,48.8,6-9,220,13,40
102,04-05,Antonio McDyess,DET,77,23.3,82,6.1,6-9,220,4,5
103,05-06,Antonio McDyess,DET,82,21.1,82,0.0,6-9,220,5,0
104,06-07,Antonio McDyess,DET,82,21.1,82,0.0,6-9,220,5,0
105,07-08,Antonio McDyess,DET,78,29.3,82,4.9,6-9,220,6,4
106,08-09,Antonio McDyess,DET,62,30.1,82,24.4,6-9,220,3,20
107,09-10,Antonio McDyess,SAS,77,21.0,82,6.1,6-9,220,7,5
108,10-11,Antonio McDyess,SAS,73,19.0,82,11.0,6-9,220,4,9
109,00-01,Arvydas Sabonis,POR,61,21.3,82,25.6,7-3,279,11,21
110,02-03,Arvydas Sabonis,POR,78,15.5,82,4.9,7-3,279,6,4
111,00-01,Avery Johnson,SAS,55,23.5,82,32.9,5-10,175,8,27
112,01-02,Avery Johnson,DAL,68,19.9,82,17.1,5-10,175,4,14
113,03-04,Avery Johnson,GSW,46,13.9,82,43.9,5-10,175,5,36
114,00-01,Ben Wallace,DET,80,34.5,82,2.4,6-9,240,4,2
115,01-02,Ben Wallace,DET,80,36.5,82,2.4,6-9,240,4,2
116,02-03,Ben Wallace,DET,73,39.3,82,11.0,6-9,240,5,9
117,03-04,Ben Wallace,DET,81,37.6,82,1.2,6-9,240,5,1
118,04-05,Ben Wallace,DET,74,36.1,82,9.8,6-9,240,6,8
119,05-06,Ben Wallace,DET,82,35.2,82,0.0,6-9,240,7,0
120,06-07,Ben Wallace,CHI,77,35.0,82,6.1,6-9,240,16,5
121,07-08,Ben Wallace,CLE,72,30.6,82,12.2,6-9,240,15,10
122,08-09,Ben Wallace,CLE,56,23.5,82,31.7,6-9,240,14,26
123,09-10,Ben Wallace,DET,69,28.6,82,15.9,6-9,240,1,13
124,10-11,Ben Wallace,DET,54,22.9,82,34.1,6-9,240,2,28
125,11-12,Ben Wallace,DET,62,15.8,66,6.1,6-9,240,2,4
126,00-01,Billy Owens,DET,45,17.6,82,45.1,6-8,220,2,37
127,00-01,Bimbo Coles,CLE,47,17.1,82,42.7,6-1,180,2,35
128,01-02,Bimbo Coles,CLE,47,14.7,82,42.7,6-1,180,2,35
129,02-03,Bimbo Coles,BOS,35,19.7,82,57.3,6-1,180,2,47
130,00-01,Bo Outlaw,ORL,80,31.7,82,2.4,6-8,210,4,2
131,01-02,Bo Outlaw,PHX,83,23.2,82,-1.2,6-8,210,6,-1
132,02-03,Bo Outlaw,PHX,80,22.5,82,2.4,6-8,210,6,2
133,03-04,Bo Outlaw,MEM,82,19.6,82,0.0,6-8,210,6,0
134,00-01,Bob Sura,GSW,53,31.8,82,35.4,6-5,200,4,29
135,01-02,Bob Sura,GSW,78,22.8,82,4.9,6-5,200,5,4
136,02-03,Bob Sura,GSW,55,20.5,82,32.9,6-5,200,5,27
137,03-04,Bob Sura,ATL,80,20.8,82,2.4,6-5,200,6,2
138,04-05,Bob Sura,HOU,61,31.5,82,25.6,6-5,200,3,21
139,00-01,Bobby Jackson,SAC,79,20.9,82,3.7,6-1,185,2,3
140,01-02,Bobby Jackson,SAC,81,21.6,82,1.2,6-1,185,2,1
141,02-03,Bobby Jackson,SAC,59,28.4,82,28.0,6-1,185,2,23
142,03-04,Bobby Jackson,SAC,50,23.7,82,39.0,6-1,185,2,32
143,04-05,Bobby Jackson,SAC,25,21.4,82,69.5,6-1,185,3,57
144,05-06,Bobby Jackson,MEM,71,25.0,82,13.4,6-1,185,3,11
145,06-07,Bobby Jackson,NOP,56,23.7,82,31.7,6-1,185,5,26
146,07-08,Bobby Jackson,HOU,72,19.3,82,12.2,6-1,185,5,10
147,08-09,Bobby Jackson,SAC,71,20.9,82,13.4,6-1,185,6,11
148,00-01,Brad Miller,CHI,57,25.2,82,30.5,6-11,244,4,25
149,01-02,Brad Miller,IND,76,29.8,82,7.3,6-11,244,4,6
150,02-03,Brad Miller,IND,73,31.1,82,11.0,6-11,244,4,9
151,03-04,Brad Miller,SAC,72,36.4,82,12.2,6-11,244,6,10
152,04-05,Brad Miller,SAC,56,37.4,82,31.7,6-11,244,7,26
153,05-06,Brad Miller,SAC,79,37.0,82,3.7,6-11,244,8,3
154,06-07,Brad Miller,SAC,63,28.3,82,23.2,6-11,244,9,19
155,07-08,Brad Miller,SAC,72,34.9,82,12.2,6-11,244,10,10
156,08-09,Brad Miller,CHI,70,30.0,82,14.6,6-11,244,11,12
157,09-10,Brad Miller,CHI,82,23.8,82,0.0,6-11,244,12,0
158,10-11,Brad Miller,HOU,60,16.9,82,26.8,6-11,244,4,22
159,00-01,Brent Barry,OKC,67,26.5,82,18.3,6-6,185,4,15
160,01-02,Brent Barry,OKC,81,37.5,82,1.2,6-6,185,4,1
161,02-03,Brent Barry,OKC,75,33.1,82,8.5,6-6,185,5,7
162,03-04,Brent Barry,OKC,59,30.6,82,28.0,6-6,185,5,23
163,04-05,Brent Barry,SAS,81,21.5,82,1.2,6-6,185,4,1
164,05-06,Brent Barry,SAS,74,17.0,82,9.8,6-6,185,4,8
165,06-07,Brent Barry,SAS,75,21.7,82,8.5,6-6,185,5,7
166,07-08,Brent Barry,SAS,31,17.9,82,62.2,6-6,185,5,51
167,08-09,Brent Barry,HOU,56,15.3,82,31.7,6-6,185,1,26
168,00-01,Brevin Knight,ATL,53,27.5,82,35.4,6-1,175,4,29
169,01-02,Brevin Knight,MEM,53,21.7,82,35.4,6-1,175,4,29
170,02-03,Brevin Knight,MEM,55,16.9,82,32.9,6-1,175,5,27
171,03-04,Brevin Knight,MIL,56,18.6,82,31.7,6-1,175,5,26
172,04-05,Brevin Knight,CHA,66,29.4,82,19.5,6-1,175,0,16
173,05-06,Brevin Knight,CHA,69,34.1,82,15.9,6-1,175,4,13
174,06-07,Brevin Knight,CHA,45,28.3,82,45.1,6-1,175,4,37
175,07-08,Brevin Knight,LAC,74,22.6,82,9.8,6-1,175,1,8
176,08-09,Brevin Knight,UTA,74,12.7,82,9.8,6-1,175,2,8
177,00-01,Brian Grant,MIA,82,33.8,82,0.0,6-9,254,8,0
178,01-02,Brian Grant,MIA,72,31.3,82,12.2,6-9,254,9,10
179,02-03,Brian Grant,MIA,82,32.2,82,0.0,6-9,254,11,0
180,03-04,Brian Grant,MIA,76,30.3,82,7.3,6-9,254,12,6
181,04-05,Brian Grant,LAL,69,16.5,82,15.9,6-9,254,13,13
182,00-01,Bruce Bowen,MIA,82,32.7,82,0.0,6-7,185,0,0
183,01-02,Bruce Bowen,SAS,59,28.8,82,28.0,6-7,185,0,23
184,02-03,Bruce Bowen,SAS,82,31.3,82,0.0,6-7,185,3,0
185,03-04,Bruce Bowen,SAS,82,32.0,82,0.0,6-7,185,3,0
186,04-05,Bruce Bowen,SAS,82,32.0,82,0.0,6-7,185,3,0
187,05-06,Bruce Bowen,SAS,82,33.6,82,0.0,6-7,185,3,0
188,06-07,Bruce Bowen,SAS,82,30.1,82,0.0,6-7,185,3,0
189,07-08,Bruce Bowen,SAS,81,30.2,82,1.2,6-7,185,4,1
190,08-09,Bruce Bowen,SAS,80,18.8,82,2.4,6-7,185,4,2
191,00-01,Bryant Reeves,MEM,75,24.4,82,8.5,7-0,275,10,7
192,00-01,Bryant Stith,BOS,78,32.1,82,4.9,6-5,208,5,4
193,01-02,Bryant Stith,CLE,50,13.3,82,39.0,6-5,208,2,32
194,00-01,Bryce Drew,CHI,48,27.2,82,41.5,6-2,185,1,34
195,01-02,Bryce Drew,CHA,61,12.7,82,25.6,6-2,185,1,21
196,00-01,Bryon Russell,UTA,78,31.7,82,4.9,6-7,225,4,4
197,01-02,Bryon Russell,UTA,66,30.3,82,19.5,6-7,225,5,16
198,02-03,Bryon Russell,WAS,70,19.8,82,14.6,6-7,225,1,12
199,03-04,Bryon Russell,LAL,72,13.1,82,12.2,6-7,225,1,10
200,04-05,Bryon Russell,DEN,70,14.7,82,14.6,6-7,225,1,12
201,01-02,Calbert Cheaney,DEN,68,24.0,82,17.1,6-7,209,2,14
202,02-03,Calbert Cheaney,UTA,81,29.0,82,1.2,6-7,209,1,1
203,03-04,Calbert Cheaney,GSW,79,26.2,82,3.7,6-7,209,1,3
204,04-05,Calbert Cheaney,GSW,55,17.3,82,32.9,6-7,209,1,27
205,00-01,Cedric Ceballos,MIA,40,14.0,82,51.2,6-6,190,3,42
206,00-01,Cedric Henderson,CLE,55,17.5,82,32.9,6-8,210,2,27
207,00-01,Cedric Henderson,CLE,55,17.5,82,32.9,6-7,215,2,27
208,00-01,Charles Oakley,TOR,78,35.5,82,4.9,6-8,225,5,4
209,01-02,Charles Oakley,CHI,57,24.3,82,30.5,6-8,225,6,25
210,02-03,Charles Oakley,WAS,42,12.2,82,48.8,6-8,225,1,40
211,00-01,Charlie Ward,NYK,61,24.5,82,25.6,6-2,190,5,21
212,01-02,Charlie Ward,NYK,63,16.8,82,23.2,6-2,190,5,19
213,02-03,Charlie Ward,NYK,66,22.2,82,19.5,6-2,190,5,16
214,03-04,Charlie Ward,SAS,71,17.6,82,13.4,6-2,190,6,11
215,00-01,Chauncey Billups,MIN,77,23.2,82,6.1,6-3,202,2,5
216,01-02,Chauncey Billups,MIN,82,28.7,82,0.0,6-3,202,2,0
217,02-03,Chauncey Billups,DET,74,31.4,82,9.8,6-3,202,4,8
218,03-04,Chauncey Billups,DET,78,35.4,82,4.9,6-3,202,5,4
219,04-05,Chauncey Billups,DET,80,35.8,82,2.4,6-3,202,5,2
220,05-06,Chauncey Billups,DET,81,36.1,82,1.2,6-3,202,5,1
221,06-07,Chauncey Billups,DET,70,36.2,82,14.6,6-3,202,6,12
222,07-08,Chauncey Billups,DET,78,32.3,82,4.9,6-3,202,10,4
223,08-09,Chauncey Billups,DEN,79,35.3,82,3.7,6-3,202,11,3
224,09-10,Chauncey Billups,DEN,73,34.1,82,11.0,6-3,202,12,9
225,10-11,Chauncey Billups,NYK,72,32.1,82,12.2,6-3,202,13,10
226,11-12,Chauncey Billups,LAC,20,30.3,66,69.7,6-3,202,14,46
227,12-13,Chauncey Billups,LAC,22,19.0,82,73.2,6-3,202,3,60
228,00-01,Cherokee Parks,LAC,65,16.2,82,20.7,6-11,235,2,17
229,02-03,Cherokee Parks,LAC,30,21.6,82,63.4,6-11,235,0,52
230,00-01,Chris Childs,TOR,77,24.1,82,6.1,6-3,195,4,5
231,01-02,Chris Childs,TOR,69,22.8,82,15.9,6-3,195,5,13
232,00-01,Chris Crawford,ATL,47,19.2,82,42.7,6-9,235,2,35
233,03-04,Chris Crawford,ATL,56,21.6,82,31.7,6-9,235,3,26
234,00-01,Chris Dudley,PHX,53,11.6,82,35.4,6-11,235,6,29
235,00-01,Chris Gatling,CLE,74,22.6,82,9.8,6-10,220,5,8
236,01-02,Chris Gatling,MIA,54,15.0,82,34.1,6-10,220,2,28
237,01-02,Chris Mills,GSW,66,18.7,82,19.5,6-6,215,5,16
238,00-01,Chris Webber,SAC,70,40.5,82,14.6,6-9,245,12,12
239,01-02,Chris Webber,SAC,54,38.4,82,34.1,6-9,245,12,28
240,02-03,Chris Webber,SAC,67,39.1,82,18.3,6-9,245,14,15
241,03-04,Chris Webber,SAC,23,36.1,82,72.0,6-9,245,15,59
242,04-05,Chris Webber,PHI,67,35.4,82,18.3,6-9,245,17,15
243,05-06,Chris Webber,PHI,75,38.6,82,8.5,6-9,245,19,7
244,06-07,Chris Webber,DET,61,29.8,82,25.6,6-9,245,18,21
245,00-01,Chris Whitney,WAS,59,26.0,82,28.0,6-0,230,2,23
246,01-02,Chris Whitney,WAS,82,26.5,82,0.0,6-0,230,2,0
247,02-03,Chris Whitney,ORL,51,20.6,82,37.8,6-0,230,3,31
248,00-01,Christian Laettner,WAS,78,21.3,82,4.9,6-11,235,6,4
249,01-02,Christian Laettner,WAS,57,25.3,82,30.5,6-11,235,4,25
250,02-03,Christian Laettner,WAS,76,29.2,82,7.3,6-11,235,5,6
251,03-04,Christian Laettner,WAS,48,20.5,82,41.5,6-11,235,5,34
252,04-05,Christian Laettner,MIA,49,15.1,82,40.2,6-11,235,6,33
253,00-01,Clarence Weatherspoon,CLE,82,33.8,82,0.0,6-6,240,2,0
254,01-02,Clarence Weatherspoon,NYK,56,30.8,82,31.7,6-6,240,4,26
255,02-03,Clarence Weatherspoon,NYK,79,25.6,82,3.7,6-6,240,4,3
256,03-04,Clarence Weatherspoon,HOU,52,16.7,82,36.6,6-6,240,5,30
257,04-05,Clarence Weatherspoon,HOU,40,13.1,82,51.2,6-6,240,5,42
258,00-01,Corey Benjamin,CHI,65,13.2,82,20.7,6-6,200,0,17
259,00-01,Corie Blount,GSW,68,19.2,82,17.1,6-9,240,1,14
260,01-02,Corie Blount,PHI,72,19.8,82,12.2,6-9,240,1,10
261,02-03,Corie Blount,CHI,50,16.7,82,39.0,6-9,240,1,32
262,03-04,Corie Blount,TOR,62,16.9,82,24.4,6-9,240,1,20
263,00-01,Corliss Williamson,DET,69,24.4,82,15.9,6-7,185,3,13
264,01-02,Corliss Williamson,DET,78,21.8,82,4.9,6-7,185,4,4
265,02-03,Corliss Williamson,DET,82,25.1,82,0.0,6-7,185,4,0
266,03-04,Corliss Williamson,DET,79,19.9,82,3.7,6-7,185,5,3
267,04-05,Corliss Williamson,SAC,72,21.2,82,12.2,6-7,185,5,10
268,06-07,Corliss Williamson,SAC,68,19.7,82,17.1,6-7,185,6,14
269,00-01,Cuttino Mobley,HOU,79,38.0,82,3.7,6-4,235,3,3
270,01-02,Cuttino Mobley,HOU,74,42.1,82,9.8,6-4,235,4,8
271,02-03,Cuttino Mobley,HOU,73,41.7,82,11.0,6-4,235,4,9
272,03-04,Cuttino Mobley,HOU,80,40.4,82,2.4,6-4,235,5,2
273,04-05,Cuttino Mobley,SAC,67,35.6,82,18.3,6-4,235,5,15
274,05-06,Cuttino Mobley,LAC,79,37.7,82,3.7,6-4,235,7,3
275,06-07,Cuttino Mobley,LAC,78,36.4,82,4.9,6-4,235,8,4
276,07-08,Cuttino Mobley,LAC,77,35.1,82,6.1,6-4,235,8,5
277,00-01,Dale Davis,POR,81,26.7,82,1.2,6-11,230,6,1
278,01-02,Dale Davis,POR,78,31.4,82,4.9,6-11,230,7,4
279,02-03,Dale Davis,POR,78,29.3,82,4.9,6-11,230,8,4
280,03-04,Dale Davis,POR,76,22.1,82,7.3,6-11,230,9,6
281,04-05,Dale Davis,IND,61,21.4,82,25.6,6-11,230,10,21
282,06-07,Dale Davis,DET,46,10.1,82,43.9,6-11,230,3,36
283,00-01,Damon Jones,MEM,71,19.9,82,13.4,6-3,185,0,11
284,01-02,Damon Jones,DET,67,16.2,82,18.3,6-3,185,0,15
285,02-03,Damon Jones,SAC,49,14.5,82,40.2,6-3,185,0,33
286,03-04,Damon Jones,MIL,82,24.6,82,0.0,6-3,185,0,0
287,04-05,Damon Jones,MIA,82,31.4,82,0.0,6-3,185,2,0
288,05-06,Damon Jones,CLE,82,25.5,82,0.0,6-3,185,3,0
289,06-07,Damon Jones,CLE,60,19.5,82,26.8,6-3,185,3,22
290,07-08,Damon Jones,CLE,67,19.9,82,18.3,6-3,185,4,15
291,00-01,Damon Stoudamire,POR,82,32.4,82,0.0,5-10,171,11,0
292,01-02,Damon Stoudamire,POR,75,37.3,82,8.5,5-10,171,12,7
293,02-03,Damon Stoudamire,POR,59,22.3,82,28.0,5-10,171,12,23
294,03-04,Damon Stoudamire,POR,82,38.0,82,0.0,5-10,171,12,0
295,04-05,Damon Stoudamire,POR,81,34.1,82,1.2,5-10,171,12,1
296,05-06,Damon Stoudamire,MEM,27,31.9,82,67.1,5-10,171,3,55
297,06-07,Damon Stoudamire,MEM,62,24.2,82,24.4,5-10,171,4,20
298,07-08,Damon Stoudamire,SAS,60,17.3,82,26.8,5-10,171,4,22
299,00-01,Dan Majerle,MIA,53,24.6,82,35.4,6-6,215,4,29
300,01-02,Dan Majerle,PHX,65,18.2,82,20.7,6-6,215,1,17
301,00-01,Dana Barros,DET,60,18.0,82,26.8,5-11,163,3,22
302,01-02,Dana Barros,DET,29,20.1,82,64.6,5-11,163,1,53
303,00-01,Danny Ferry,SAS,80,21.1,82,2.4,6-10,230,1,2
304,01-02,Danny Ferry,SAS,50,15.9,82,39.0,6-10,230,1,32
305,02-03,Danny Ferry,SAS,65,9.2,82,20.7,6-10,230,4,17
306,01-02,Danny Fortson,GSW,77,28.8,82,6.1,6-7,260,4,5
307,03-04,Danny Fortson,DAL,56,11.1,82,31.7,6-7,260,5,26
308,04-05,Danny Fortson,OKC,62,16.9,82,24.4,6-7,260,5,20
309,00-01,Danny Manning,UTA,82,15.9,82,0.0,6-10,230,8,0
310,01-02,Danny Manning,DAL,41,13.5,82,50.0,6-10,230,1,41
311,00-01,Darrell Armstrong,ORL,75,36.9,82,8.5,6-0,170,3,7
312,01-02,Darrell Armstrong,ORL,82,33.3,82,0.0,6-0,170,4,0
313,02-03,Darrell Armstrong,ORL,82,28.7,82,0.0,6-0,170,4,0
314,03-04,Darrell Armstrong,NOP,79,28.5,82,3.7,6-0,170,2,3
315,04-05,Darrell Armstrong,DAL,66,15.0,82,19.5,6-0,170,2,16
316,05-06,Darrell Armstrong,DAL,62,10.0,82,24.4,6-0,170,1,20
317,06-07,Darrell Armstrong,IND,81,15.7,82,1.2,6-0,170,1,1
318,07-08,Darrell Armstrong,BRK,50,11.0,82,39.0,6-0,170,1,32
319,00-01,David Robinson,SAS,80,29.6,82,2.4,7-1,235,14,2
320,01-02,David Robinson,SAS,78,29.5,82,4.9,7-1,235,9,4
321,02-03,David Robinson,SAS,64,26.2,82,22.0,7-1,235,10,18
322,00-01,David Wesley,CHA,82,37.9,82,0.0,6-0,220,2,0
323,01-02,David Wesley,CHA,67,37.1,82,18.3,6-0,220,3,15
324,02-03,David Wesley,NOP,73,37.1,82,11.0,6-0,220,3,9
325,03-04,David Wesley,NOP,61,32.8,82,25.6,6-0,220,3,21
326,04-05,David Wesley,HOU,80,34.7,82,2.4,6-0,220,4,2
327,05-06,David Wesley,HOU,71,33.4,82,13.4,6-0,220,5,11
328,00-01,Dean Garrett,MIN,70,11.9,82,14.6,6-10,225,2,12
329,06-07,Dee Brown,UTA,49,9.2,82,40.2,6-1,160,0,33
330,06-07,Dee Brown,UTA,49,9.2,82,40.2,6-0,185,0,33
331,00-01,Dell Curry,TOR,71,13.5,82,13.4,6-4,190,2,11
332,01-02,Dell Curry,TOR,56,15.8,82,31.7,6-4,190,2,26
333,00-01,Derek Anderson,SAS,82,34.9,82,0.0,6-5,194,2,0
334,01-02,Derek Anderson,POR,70,26.6,82,14.6,6-5,194,6,12
335,02-03,Derek Anderson,POR,76,33.6,82,7.3,6-5,194,7,6
336,03-04,Derek Anderson,POR,51,35.5,82,37.8,6-5,194,7,31
337,04-05,Derek Anderson,POR,47,26.4,82,42.7,6-5,194,8,35
338,05-06,Derek Anderson,MIA,43,24.3,82,47.6,6-5,194,10,39
339,06-07,Derek Anderson,CHA,50,23.8,82,39.0,6-5,194,11,32
340,00-01,Derek Fisher,LAL,21,33.8,82,74.4,6-1,200,3,61
341,01-02,Derek Fisher,LAL,70,28.2,82,14.6,6-1,200,3,12
342,02-03,Derek Fisher,LAL,82,34.5,82,0.0,6-1,200,3,0
343,03-04,Derek Fisher,LAL,82,21.6,82,0.0,6-1,200,3,0
344,04-05,Derek Fisher,GSW,74,30.0,82,9.8,6-1,200,4,8
345,05-06,Derek Fisher,GSW,82,31.6,82,0.0,6-1,200,5,0
346,06-07,Derek Fisher,UTA,82,27.9,82,0.0,6-1,200,5,0
