player,year_min,height,weight
Leon Blevins,1951,6-2,160
John Block,1967,6-9,207
Mike Bloom,1948,6-6,190
Jaron Blossomgame,2019,6-7,220
Corie Blount,1994,6-9,240
Mark Blount,2001,7-0,230
Vander Blue,2014,6-4,200
Ray Blume,1982,6-4,185
Nelson Bobb,1950,6-0,170
Tony Bobbitt,2005,6-4,190
Bucky Bockhorn,1959,6-4,200
Tom Boerwinkle,1969,7-0,265
Keith Bogans,2004,6-5,215
Bogdan Bogdanovic,2018,6-6,205
Bojan Bogdanovic,2015,6-8,216
Muggsy Bogues,1988,5-3,136
Andrew Bogut,2006,7-0,260
Etdrick Bohannon,1998,6-9,220
Manute Bol,1986,7-7,200
Jonah Bolden,2019,6-10,220
Bill Bolger,1954,6-5,205
Joel Bolomboy,2017,6-9,235
Doug Bolstorff,1958,6-4,195
George Bon Salle,1962,6-8,220
Phil Bond,1978,6-2,175
Walter Bond,1993,6-5,200
Dexter Boney,1997,6-4,185
Isaac Bonga,2019,6-8,180
Ron Bonham,1965,6-5,192
Anthony Bonner,1991,6-8,215
Matt Bonner,2005,6-10,235
Butch Booker,1970,6-10,230
Devin Booker,2016,6-6,210
Melvin Booker,1996,6-1,185
Trevor Booker,2011,6-8,228
Josh Boone,2007,6-10,237
Ron Boone,1969,6-2,200
Calvin Booth,2000,6-11,230
Keith Booth,1998,6-6,226
Bob Boozer,1961,6-8,215
Carlos Boozer,2003,6-9,258
Curtis Borchardt,2004,7-0,240
Jake Bornheimer,1949,6-5,200
Lazaro Borrell,2000,6-8,220
Ike Borsavage,1951,6-8,220
Vince Boryla,1950,6-5,210
Chris Bosh,2004,6-11,235
Jim Bostic,1978,6-7,225
Lawrence Boston,1980,6-8,225
Tom Boswell,1976,6-9,220
Chris Boucher,2018,6-10,200
Ruben Boumtje-Boumtje,2002,7-0,257
Don Boven,1950,6-4,210
Cal Bowdler,2000,6-10,245
Bruce Bowen,1997,6-7,185
Ryan Bowen,2000,6-7,215
Tommie Bowens,1968,6-8,220
Anthony Bowie,1989,6-6,190
Sam Bowie,1985,7-1,235
Orbie Bowling,1968,6-10,215
Ira Bowman,2000,6-5,195
Nate Bowman,1967,6-10,230
Donnie Boyce,1996,6-5,196
Dennis Boyd,1979,6-1,175
Freddie Boyd,1973,6-2,180
Ken Boyd,1975,6-5,195
Earl Boykins,1999,5-5,135
Harry Boykoff,1950,6-10,225
Winford Boynes,1979,6-6,185
Cedric Bozeman,2007,6-6,207
Steve Bracey,1973,6-1,175
Craig Brackins,2011,6-10,230
Gary Bradds,1965,6-8,210
Alex Bradley,1982,6-6,215
Alonzo Bradley,1978,6-6,190
Avery Bradley,2011,6-2,180
Bill Bradley,1968,5-11,165
Bill Bradley,1968,6-5,205
Charles Bradley,1982,6-5,215
Dudley Bradley,1980,6-6,195
Jim Bradley,1974,6-8,215
Joe Bradley,1950,6-3,175
Michael Bradley,2002,6-10,245
Shawn Bradley,1994,7-6,235
Tony Bradley,2018,6-10,248
Mark Bradtke,1997,6-10,265
Marques Bragg,1996,6-8,230
Torraye Braggs,2004,6-8,245
A.J. Bramlett,2000,6-10,227
Adrian Branch,1987,6-7,185
Elton Brand,2000,6-8,275
Terrell Brandon,1992,5-11,180
Bob Brannum,1950,6-5,215
Brad Branson,1982,6-10,220
Jesse Branson,1966,6-7,195
Jim Brasco,1953,6-1,170
Mike Bratz,1978,6-2,185
Carl Braun,1948,6-5,180
Tim Breaux,1995,6-7,215
J.R. Bremer,2003,6-2,185
Pete Brennan,1959,6-6,205
Tom Brennan,1955,6-3,195
Randy Breuer,1984,7-3,230
Corey Brewer,2008,6-9,186
Jamison Brewer,2002,6-4,184
Jim Brewer,1974,6-9,210
Ron Brewer,1979,6-4,180
Ronnie Brewer,2007,6-7,220
Primoz Brezec,2002,7-2,252
Frankie Brian,1950,6-1,180
Frank Brickowski,1985,6-9,240
Junior Bridgeman,1976,6-5,210
Bill Bridges,1963,6-6,228
Mikal Bridges,2019,6-7,210
Miles Bridges,2019,6-7,225
Al Brightman,1947,6-2,195
Aud Brindley,1947,6-4,175
Isaiah Briscoe,2019,6-3,215
John Brisker,1970,6-5,210
Allan Bristow,1974,6-7,210
Tyrone Britt,1968,6-4,190
Wayman Britt,1978,6-2,185
Mike Brittain,1986,7-0,235
Dave Britton,1981,6-4,180
Jon Brockman,2010,6-7,255
Ryan Broekhoff,2019,6-7,215
Jim Brogan,1982,6-4,185
Malcolm Brogdon,2017,6-5,229
Gary Brokaw,1975,6-4,178
Price Brookfield,1949,6-4,185
Clarence Brookins,1971,6-4,190
Aaron Brooks,2008,6-0,161
Dillon Brooks,2018,6-6,220
Kevin Brooks,1992,6-6,200
MarShon Brooks,2012,6-5,200
Michael Brooks,1981,6-7,220
Scott Brooks,1989,5-11,165
Andre Brown,2007,6-9,245
Anthony Brown,2016,6-7,210
Bob Brown,1949,6-4,205
Bobby Brown,2009,6-2,175
Bruce Brown,2019,6-5,202
Chucky Brown,1990,6-7,214
Damone Brown,2002,6-9,200
Darrell Brown,1949,6-2,175
Dee Brown,1991,6-1,160
Dee Brown,2007,6-0,185
Derrick Brown,2010,6-7,225
Devin Brown,2003,6-5,220
Ernest Brown,2002,7-0,244
Fred Brown,1972,6-3,182
George Brown,1958,6-6,190
Gerald Brown,1999,6-4,210
Harold Brown,1947,6-0,155
Jabari Brown,2015,6-4,215
Jaylen Brown,2017,6-7,220
John Brown,1974,6-7,220
Kedrick Brown,2002,6-7,222
Kwame Brown,2002,6-11,270
Larry Brown,1968,5-9,160
Leon Brown,1947,6-3,190
Lewis Brown,1981,6-11,225
Lorenzo Brown,2014,6-5,189
Marcus Brown,1997,6-3,185
Markel Brown,2015,6-3,190
Mike Brown,1987,6-9,257
Myron Brown,1992,6-3,180
P.J. Brown,1994,6-11,225
Randy Brown,1992,6-2,190
Raymond Brown,1990,6-8,220
Rickey Brown,1981,6-10,215
Roger Brown,1968,6-5,205
Roger Brown,1973,6-11,225
Shannon Brown,2007,6-4,205
Stan Brown,1948,6-3,200
Sterling Brown,2018,6-6,232
Tierre Brown,2002,6-2,189
Tony Brown,1985,6-6,185
Troy Brown,2019,6-7,215
Jim Browne,1949,6-10,235
Stanley Brundy,1990,6-6,210
Brian Brunkhorst,1969,6-6,208
George Bruns,1973,6-0,160
Jalen Brunson,2019,6-3,190
Rick Brunson,1998,6-4,190
Nicolas Brussino,2017,6-7,195
Em Bryant,1965,6-1,175
Joe Bryant,1976,6-9,185
Kobe Bryant,1997,6-6,212
Mark Bryant,1989,6-9,245
Thomas Bryant,2018,6-11,248
Wallace Bryant,1984,7-0,245
Torgeir Bryn,1990,6-9,250
George Bucci,1976,6-3,200
Joe Buckhalter,1962,6-7,210
Steve Bucknall,1990,6-6,215
Cleveland Buckner,1962,6-9,210
Greg Buckner,2000,6-4,210
Quinn Buckner,1977,6-3,190
Dave Budd,1961,6-6,205
Chase Budinger,2010,6-7,209
Walt Budko,1949,6-5,220
Jud Buechler,1991,6-6,220
Rodney Buford,2000,6-5,189
Matt Bullard,1991,6-10,215
Reggie Bullock,2014,6-7,205
Larry Bunce,1968,7-0,240
Greg Bunch,1979,6-6,190
Dick Bunt,1953,6-0,170
Bill Buntin,1966,6-7,250
Bill Bunting,1970,6-8,200
Ticky Burden,1976,6-2,185
Pat Burke,2003,6-11,250
Trey Burke,2014,6-1,175
Roger Burkman,1982,6-5,175
Alec Burks,2012,6-6,214
Antonio Burks,2005,6-1,200
Kevin Burleson,2006,6-3,205
Tom Burleson,1975,7-2,225
Jack Burmaster,1950,6-3,190
David Burns,1982,6-2,180
Evers Burns,1994,6-8,260
Jim Burns,1968,6-3,195
Scott Burrell,1994,6-7,218
Art Burris,1951,6-5,220
Junior Burrough,1996,6-8,242
Bob Burrow,1957,6-7,228
Deonte Burton,2019,6-5,245
Ed Burton,1962,6-6,225
Willie Burton,1991,6-8,210
Steve Burtt,1985,6-2,185
Don Buse,1973,6-4,190
David Bustion,1973,6-8,215
Donnie Butcher,1962,6-2,200
Al Butler,1962,6-2,175
Caron Butler,2003,6-7,228
Greg Butler,1989,6-11,240
Jackie Butler,2005,6-10,250
Jimmy Butler,2012,6-8,232
Mike Butler,1969,6-2,170
Mitchell Butler,1994,6-5,210
Rasual Butler,2003,6-7,215
Dwight Buycks,2014,6-3,190
Derrick Byars,2012,6-7,220
Andrew Bynum,2006,7-0,285
Will Bynum,2006,6-0,185
Walter Byrd,1970,6-7,205
Marty Byrnes,1979,6-7,215
Tommy Byrnes,1947,6-3,175
Michael Bytzura,1947,6-1,170
Zarko Cabarkapa,2004,6-11,235
Barney Cable,1959,6-7,175
Bruno Caboclo,2015,6-9,218
Jason Caffey,1996,6-8,255
Michael Cage,1985,6-9,224
Gerry Calabrese,1951,6-1,175
Nick Calathes,2014,6-6,213
Jose Calderon,2006,6-3,200
Adrian Caldwell,1990,6-8,265
Jim Caldwell,1968,6-10,240
Joe Caldwell,1965,6-5,195
Kentavious Caldwell-Pope,2014,6-5,205
Bill Calhoun,1949,6-3,180
Corky Calhoun,1973,6-7,210
Demetrius Calip,1992,6-1,165
Tom Callahan,1947,6-1,180
Rick Calloway,1991,6-6,180
Ernie Calverley,1947,5-10,145
Mack Calvin,1970,6-0,165
Dexter Cambridge,1993,6-7,224
Marcus Camby,1997,6-11,220
Elden Campbell,1991,6-11,215
Tony Campbell,1985,6-7,215
Isaiah Canaan,2014,6-0,201
Larry Cannon,1970,6-4,195
Clint Capela,2015,6-10,240
Derrick Caracter,2011,6-9,275
Frank Card,1969,6-7,195
Brian Cardinal,2001,6-8,245
Howie Carl,1962,5-9,160
Chet Carlisle,1947,6-5,195
Geno Carlisle,2005,6-3,180
Rick Carlisle,1985,6-5,210
Don Carlos,1969,6-5,210
Al Carlson,1976,6-11,235
Don Carlson,1947,6-0,170
Bob Carney,1955,6-3,170
Rodney Carney,2007,6-7,205
Bob Carpenter,1950,6-5,200
Antoine Carr,1985,6-9,225
Austin Carr,1972,6-4,200
Chris Carr,1996,6-5,207
Cory Carr,1999,6-3,210
Kenny Carr,1978,6-7,220
M.L. Carr,1976,6-6,205
Darel Carrier,1968,6-3,185
Bob Carrington,1978,6-6,195
DeMarre Carroll,2010,6-8,215
Joe Barry Carroll,1981,7-0,225
Matt Carroll,2004,6-6,212
Jimmy Carruth,1997,6-10,265
Anthony Carter,2000,6-1,190
Butch Carter,1981,6-5,180
Fred Carter,1970,6-3,185
George Carter,1968,6-4,210
Howard Carter,1984,6-5,215
Jake Carter,1950,6-4,195
Jevon Carter,2019,6-2,196
Maurice Carter,2004,6-5,210
Reggie Carter,1981,6-3,175
Ron Carter,1979,6-5,190
Vince Carter,1999,6-6,220
Wendell Carter,2019,6-10,255
Michael Carter-Williams,2014,6-6,190
Bill Cartwright,1980,7-1,245
Jay Carty,1969,6-8,220
Alex Caruso,2018,6-5,186
Cornelius Cash,1977,6-8,215
Sam Cash,1973,6-8,230
Sam Cassell,1994,6-3,185
Omri Casspi,2010,6-9,225
Harvey Catchings,1975,6-9,218
Terry Catledge,1986,6-8,220
Sid Catlett,1972,6-6,230
Kelvin Cato,1998,6-11,255
Bobby Cattage,1982,6-9,250
Willie Cauley-Stein,2016,7-0,240
Troy Caupain,2019,6-4,210
Duane Causwell,1991,7-0,240
Tyler Cavanaugh,2018,6-9,238
Ron Cavenall,1985,7-1,230
Cedric Ceballos,1991,6-6,190
John Celestand,2000,6-4,178
Al Cervi,1950,5-11,170
Lionel Chalmers,2005,6-0,180
Mario Chalmers,2009,6-2,190
Bill Chamberlain,1973,6-6,188
Wilt Chamberlain,1960,7-1,275
Jerry Chambers,1967,6-5,185
Tom Chambers,1982,6-10,220
Mike Champion,1989,6-10,230
Tyson Chandler,2002,7-1,240
Wilson Chandler,2008,6-9,225
Don Chaney,1969,6-5,210
John Chaney,1950,6-3,185
Rex Chapman,1989,6-4,185
Wayne Chapman,1969,6-6,190
Len Chappell,1963,6-8,240
Ken Charles,1974,6-3,180
Lorenzo Charles,1986,6-7,225
Calbert Cheaney,1994,6-7,209
Maurice Cheeks,1979,6-1,180
Phil Chenier,1972,6-3,180
Will Cherry,2015,6-0,185
Derrick Chievous,1989,6-7,195
Pete Chilcutt,1992,6-10,230
Josh Childress,2005,6-8,210
Randolph Childress,1996,6-2,188
Chris Childs,1995,6-3,195
Leroy Chollet,1950,6-2,190
Jim Chones,1973,6-11,220
Marquese Chriss,2017,6-10,240
Fred Christ,1955,6-4,210
Cal Christensen,1951,6-5,210
Bob Christian,1970,6-10,255
Doug Christie,1993,6-6,200
Dionte Christmas,2014,6-5,205
Rakeem Christmas,2016,6-9,250
Semaj Christon,2017,6-3,190
Patrick Christopher,2015,6-5,209
Stephen Chubin,1968,6-2,200
Robert Churchwell,1996,6-6,195
Archie Clark,1967,6-2,175
Carlos Clark,1984,6-4,210
Earl Clark,2010,6-10,225
Gary Clark,2019,6-8,225
Ian Clark,2014,6-3,175
Keon Clark,1999,6-11,220
Richard Clark,1968,6-4,190
Coty Clarke,2016,6-7,232
Jordan Clarkson,2015,6-5,194
Gian Clavell,2018,6-4,185
Victor Claver,2013,6-9,224
John Clawson,1969,6-4,200
Charles Claxton,1996,7-0,265
Speedy Claxton,2002,5-11,166
Jim Cleamons,1972,6-3,185
Mateen Cleaves,2001,6-2,205
Barry Clemens,1966,6-6,210
Antonius Cleveland,2018,6-6,195
Nat Clifton,1951,6-6,220
Bill Closs,1950,6-5,195
Keith Closs,1998,7-3,212
Paul Cloyd,1950,6-2,180
Bob Cluggish,1947,6-10,235
Ben Clyde,1975,6-7,198
Richard Coffey,1991,6-6,212
Fred Cofield,1986,6-3,190
John Coker,1996,7-0,253
Norris Cole,2012,6-2,175
Ben Coleman,1987,6-9,235
Derrick Coleman,1991,6-10,230
E.C. Coleman,1974,6-8,225
Jack Coleman,1950,6-7,195
Norris Coleman,1988,6-8,210
Bimbo Coles,1991,6-1,180
Jason Collier,2001,7-0,260
Art Collins,1981,6-4,185
Don Collins,1981,6-6,190
Doug Collins,1974,6-6,180
James Collins,1998,6-4,196
Jarron Collins,2002,6-11,255
Jason Collins,2002,7-0,255
Jimmy Collins,1971,6-2,175
John Collins,2018,6-10,235
Mardy Collins,2007,6-6,220
Sherron Collins,2011,5-11,205
Zach Collins,2018,7-0,235
Kyle Collinsworth,2018,6-6,210
Darren Collison,2010,6-0,175
Nick Collison,2005,6-10,255
Joe Colone,1949,6-5,210
Sean Colson,2001,6-0,175
Steve Colter,1985,6-3,165
Glen Combs,1969,6-2,185
Leroy Combs,1984,6-8,210
John Comeaux,1968,6-5,193
Dallas Comegys,1988,6-9,205
Larry Comley,1964,6-5,210
Jeffrey Congdon,1968,6-1,180
Gene Conley,1953,6-8,225
Larry Conley,1968,6-3,175
Mike Conley,2008,6-1,175
Ed Conlin,1956,6-5,200
Marty Conlon,1992,6-10,224
Pat Connaughton,2016,6-4,209
Jimmy Conner,1976,6-4,190
Lester Conner,1983,6-4,180
Chuck Connors,1947,6-5,190
Will Conroy,2007,6-2,195
Anthony Cook,1991,6-9,205
Bert Cook,1955,6-3,185
Bobby Cook,1950,5-10,155
Brian Cook,2004,6-9,234
Daequan Cook,2008,6-5,205
Darwin Cook,1981,6-3,184
Jeff Cook,1980,6-10,215
