season,player,team,games_played,minutes_per_game
2017-2018,Nikola Mirotic,NOP,55,27.2
2017-2018,Donovan Mitchell,UTA,79,33.4
2017-2018,Malik Monk,CHA,63,13.5
2017-2018,Greg Monroe,BOS,51,20.4
2017-2018,E'Twaun Moore,NOP,82,31.5
2017-2018,Eric Moreland,DET,67,12.0
2017-2018,Marcus Morris,BOS,54,26.8
2017-2018,Markieff Morris,WAS,73,27.0
2017-2018,Emmanuel Mudiay,NYK,64,19.4
2017-2018,Dejounte Murray,SAS,81,21.5
2017-2018,Jamal Murray,DEN,81,31.7
2017-2018,Mike Muscala,ATL,53,20.0
2017-2018,Abdel Nader,BOS,48,10.9
2017-2018,"Larry Nance, Jr.",CLE,66,21.5
2017-2018,Shabazz Napier,POR,74,20.7
2017-2018,Jameer Nelson,DET,50,20.3
2017-2018,Maybyner Nene,HOU,52,14.6
2017-2018,Raulzinho Neto,UTA,41,12.1
2017-2018,Dirk Nowitzki,DAL,77,24.7
2017-2018,Frank Ntilikina,NYK,78,21.9
2017-2018,Jusuf Nurkic,POR,79,26.4
2017-2018,David Nwaba,CHI,70,23.5
2017-2018,Royce O'Neale,UTA,69,16.7
2017-2018,Kyle O'Quinn,NYK,77,18.0
2017-2018,Semi Ojeleye,BOS,73,15.8
2017-2018,Victor Oladipo,IND,75,34.0
2017-2018,Kelly Olynyk,MIA,76,23.4
2017-2018,Cedi Osman,CLE,61,11.0
2017-2018,"Kelly Oubre, Jr.",WAS,81,27.5
2017-2018,Zaza Pachulia,GSW,69,14.1
2017-2018,Jabari Parker,MIL,31,24.0
2017-2018,Tony Parker,SAS,55,19.5
2017-2018,Chandler Parsons,MEM,36,19.2
2017-2018,Patrick Patterson,OKC,82,15.5
2017-2018,Brandon Paul,SAS,64,9.0
2017-2018,Chris Paul,HOU,58,31.8
2017-2018,Cameron Payne,CHI,25,23.3
2017-2018,Elfrid Payton,PHX,63,28.7
2017-2018,Mason Plumlee,DEN,74,19.5
2017-2018,Miles Plumlee,ATL,55,16.7
2017-2018,Jakob Poeltl,TOR,82,18.6
2017-2018,Otto Porter,WAS,77,31.6
2017-2018,Bobby Portis,CHI,73,22.5
2017-2018,Kristaps Porzingis,NYK,48,32.4
2017-2018,Dwight Powell,DAL,79,21.2
2017-2018,Norman Powell,TOR,70,15.2
2017-2018,Taurean Prince,ATL,82,30.0
2017-2018,Ivan Rabb,MEM,36,14.3
2017-2018,Julius Randle,LAL,82,26.7
2017-2018,Zach Randolph,SAC,59,25.6
2017-2018,J.J. Redick,PHI,70,30.2
2017-2018,Josh Richardson,MIA,81,33.2
2017-2018,Austin Rivers,LAC,61,33.7
2017-2018,Andre Roberson,OKC,39,26.6
2017-2018,Rajon Rondo,NOP,65,26.2
2017-2018,Derrick Rose,MIN,25,16.8
2017-2018,Terrence Ross,ORL,24,25.0
2017-2018,Terry Rozier,BOS,80,25.9
2017-2018,Ricky Rubio,UTA,77,29.3
2017-2018,D'Angelo Russell,BRK,48,25.7
2017-2018,Domas Sabonis,IND,74,24.5
2017-2018,Dario Saric,PHI,78,29.6
2017-2018,Tomas Satoransky,WAS,73,22.5
2017-2018,Dennis Schroder,ATL,67,31.0
2017-2018,Mike Scott,WAS,76,18.5
2017-2018,Thabo Sefolosha,UTA,38,21.2
2017-2018,Wayne Selden,MEM,35,19.8
2017-2018,Pascal Siakam,TOR,81,20.7
2017-2018,Ben Simmons,PHI,81,33.7
2017-2018,Joel Embiid,PHI,63,30.4
2017-2018,James Ennis,DET,72,22.3
2017-2018,Tyler Ennis,LAL,54,12.7
2017-2018,Jawun Evans,LAC,48,16.2
2017-2018,Tyreke Evans,MEM,52,30.9
2017-2018,Derrick Favors,UTA,77,28.0
2017-2018,Cristiano Felicio,CHI,55,17.8
2017-2018,Raymond Felton,OKC,82,16.6
2017-2018,Terrance Ferguson,OKC,61,12.5
2017-2018,Yogi Ferrell,DAL,82,27.8
2017-2018,Bryn Forbes,SAS,80,19.0
2017-2018,Evan Fournier,ORL,57,32.2
2017-2018,De'Aaron Fox,SAC,73,27.7
2017-2018,Tim Frazier,WAS,59,14.2
2017-2018,Channing Frye,LAL,53,13.1
2017-2018,Danilo Gallinari,LAC,21,32.0
2017-2018,Langston Galloway,DET,58,14.9
2017-2018,Marc Gasol,MEM,73,33.0
2017-2018,Pau Gasol,SAS,77,23.5
2017-2018,Rudy Gay,SAS,57,21.6
2017-2018,Paul George,OKC,79,36.6
2017-2018,Taj Gibson,MIN,82,33.3
2017-2018,Manu Ginobili,SAS,65,20.0
2017-2018,Rudy Gobert,UTA,56,32.4
2017-2018,Aaron Gordon,ORL,58,32.9
2017-2018,Eric Gordon,HOU,69,31.2
2017-2018,Marcin Gortat,WAS,82,25.3
2017-2018,Treveon Graham,CHA,63,16.7
2017-2018,Jerami Grant,OKC,81,20.3
2017-2018,Jerian Grant,CHI,74,22.8
2017-2018,Danny Green,SAS,70,25.6
2017-2018,Draymond Green,GSW,70,32.7
2017-2018,Gerald Green,HOU,41,22.7
2017-2018,JaMychal Green,MEM,55,28.0
2017-2018,Jeff Green,CLE,78,23.4
2017-2018,Blake Griffin,DET,58,34.0
2017-2018,Tim Hardaway Jr.,NYK,57,33.1
2017-2018,James Harden,HOU,72,35.4
2017-2018,Maurice Harkless,POR,59,21.4
2017-2018,Montrezl Harrell,LAC,76,17.0
2017-2018,Devin Harris,DEN,71,18.9
2017-2018,Gary Harris,DEN,67,34.4
2017-2018,Joe Harris,BRK,78,25.3
2017-2018,Tobias Harris,LAC,80,33.4
2017-2018,Andrew Harrison,MEM,56,23.7
2017-2018,Josh Hart,LAL,63,23.2
2017-2018,John Henson,MIL,76,25.9
2017-2018,Mario Hezonja,ORL,75,22.1
2017-2018,Buddy Hield,SAC,80,25.3
2017-2018,George Hill,CLE,67,27.0
2017-2018,Jrue Holiday,NOP,81,36.1
2017-2018,Justin Holiday,CHI,72,31.5
2017-2018,Rondae Hollis-Jefferson,BRK,68,28.2
2017-2018,Richaun Holmes,PHI,48,15.5
2017-2018,Rodney Hood,CLE,60,26.9
2017-2018,Al Horford,BOS,72,31.6
2017-2018,Dwight Howard,CHA,81,30.4
2017-2018,Josh Huestis,OKC,69,14.2
2017-2018,Serge Ibaka,TOR,76,27.5
2017-2018,Andre Iguodala,GSW,64,25.4
2017-2018,Ersan Ilyasova,PHI,69,25.1
2017-2018,Joe Ingles,UTA,82,31.4
2017-2018,Brandon Ingram,LAL,59,33.5
2017-2018,Kyrie Irving,BOS,60,32.2
2017-2018,Jonathan Isaac,ORL,27,19.8
2017-2018,Wesley Iwundu,ORL,62,16.5
2017-2018,Jarrett Jack,NYK,62,25.0
2017-2018,Josh Jackson,PHX,77,25.4
2017-2018,Justin Jackson,SAC,68,22.2
2017-2018,Reggie Jackson,DET,45,26.7
2017-2018,LeBron James,CLE,82,36.9
2017-2018,Mike James,NOP,36,19.1
2017-2018,Jonas Jerebko,UTA,74,15.3
2017-2018,Amir Johnson,PHI,74,15.8
2017-2018,James Johnson,MIA,73,26.6
2017-2018,Joe Johnson,HOU,55,21.9
2017-2018,Stanley Johnson,DET,69,27.4
2017-2018,Tyler Johnson,MIA,72,28.5
2017-2018,Wesley Johnson,LAC,74,20.1
2017-2018,Nikola Jokic,DEN,75,32.5
2017-2018,Tyus Jones,MIN,82,17.9
2017-2018,DeAndre Jordan,LAC,77,31.5
2017-2018,Cory Joseph,IND,82,26.9
2017-2018,Frank Kaminsky,CHA,79,23.2
2017-2018,Enes Kanter,NYK,71,25.8
2017-2018,Luke Kennard,DET,73,20.0
2017-2018,Michael Kidd-Gilchrist,CHA,74,25.0
2017-2018,Sean Kilpatrick,CHI,52,12.3
2017-2018,Maxi Kleber,DAL,72,16.8
2017-2018,Kyle Korver,CLE,73,21.6
2017-2018,Kosta Koufos,SAC,71,19.6
2017-2018,Kyle Kuzma,LAL,77,31.2
2017-2018,Skal Labissiere,SAC,60,20.7
2017-2018,Jeremy Lamb,CHA,80,24.6
2017-2018,Shane Larkin,BOS,54,14.3
2017-2018,Joffrey Lauvergne,SAS,55,9.7
2017-2018,Zach LaVine,CHI,24,27.3
2017-2018,Courtney Lee,NYK,76,30.4
2017-2018,Alex Len,PHX,69,20.2
2017-2018,Caris LeVert,BRK,71,26.2
2017-2018,Alex Abrines,OKC,75,15.1
2017-2018,Quincy Acy,BRK,70,19.4
2017-2018,Steven Adams,OKC,76,32.7
2017-2018,Bam Adebayo,MIA,69,19.8
2017-2018,Arron Afflalo,ORL,53,12.9
2017-2018,LaMarcus Aldridge,SAS,75,33.4
2017-2018,Jarrett Allen,BRK,72,20.0
2017-2018,Al-Farouq Aminu,POR,69,30.0
2017-2018,Justin Anderson,PHI,38,13.7
2017-2018,Kyle Anderson,SAS,74,26.7
2017-2018,Ryan Anderson,HOU,66,26.1
2017-2018,Giannis Antetokounmpo,MIL,75,36.8
2017-2018,Carmelo Anthony,OKC,78,32.1
2017-2018,Ogugua Anunoby,TOR,74,20.0
2017-2018,Trevor Ariza,HOU,67,33.9
2017-2018,D.J. Augustin,ORL,75,23.5
2017-2018,Luke Babbitt,MIA,50,14.3
2017-2018,Dwayne Bacon,CHA,53,13.5
2017-2018,Lonzo Ball,LAL,52,34.2
2017-2018,J.J. Barea,DAL,69,23.2
2017-2018,Harrison Barnes,DAL,77,34.2
2017-2018,Will Barton,DEN,81,33.1
2017-2018,Nicolas Batum,CHA,64,31.0
2017-2018,Jerryd Bayless,PHI,39,23.7
2017-2018,Aron Baynes,BOS,81,18.3
2017-2018,Kent Bazemore,ATL,65,27.5
2017-2018,Bradley Beal,WAS,82,36.3
2017-2018,Malik Beasley,DEN,62,9.4
2017-2018,Michael Beasley,NYK,74,22.3
2017-2018,Marco Belinelli,PHI,80,24.3
2017-2018,Jordan Bell,GSW,57,14.2
2017-2018,Dragan Bender,PHX,82,25.2
2017-2018,Davis Bertans,SAS,77,14.1
2017-2018,Khem Birch,ORL,42,13.8
2017-2018,Bismack Biyombo,ORL,82,18.2
2017-2018,Nemanja Bjelica,MIN,67,20.5
2017-2018,Tarik Black,HOU,51,10.5
2017-2018,Eric Bledsoe,MIL,74,31.4
2017-2018,Bogdan Bogdanovic,SAC,78,27.9
2017-2018,Bojan Bogdanovic,IND,80,30.8
2017-2018,Devin Booker,PHX,54,34.5
2017-2018,Trevor Booker,IND,68,17.0
2017-2018,Avery Bradley,LAC,46,31.2
2017-2018,Corey Brewer,OKC,72,16.8
2017-2018,Malcolm Brogdon,MIL,48,29.9
2017-2018,Dillon Brooks,MEM,82,28.7
2017-2018,Jaylen Brown,BOS,70,30.7
2017-2018,Sterling Brown,MIL,54,14.4
2017-2018,Reggie Bullock,DET,62,27.9
2017-2018,Trey Burke,NYK,36,21.8
2017-2018,Alec Burks,UTA,64,16.5
2017-2018,Jimmy Butler,MIN,59,36.7
2017-2018,Jose Calderon,CLE,57,16.0
2017-2018,Kentavious Caldwell-Pope,LAL,74,33.2
2017-2018,Clint Capela,HOU,74,27.5
2017-2018,DeMarre Carroll,BRK,73,29.9
2017-2018,Vince Carter,SAC,58,17.7
2017-2018,Michael Carter-Williams,CHA,52,16.1
2017-2018,Alex Caruso,LAL,37,15.2
2017-2018,Omri Casspi,GSW,53,14.0
2017-2018,Willie Cauley-Stein,SAC,73,28.0
2017-2018,Tyler Cavanaugh,ATL,39,13.3
2017-2018,Mario Chalmers,MEM,66,21.5
2017-2018,Tyson Chandler,PHX,46,25.0
2017-2018,Wilson Chandler,DEN,74,31.7
2017-2018,Marquese Chriss,PHX,72,21.2
2017-2018,Ian Clark,NOP,74,19.7
2017-2018,Jordan Clarkson,CLE,81,23.3
2017-2018,John Collins,ATL,74,24.1
2017-2018,Zach Collins,POR,66,15.8
2017-2018,Darren Collison,IND,69,29.3
2017-2018,Pat Connaughton,POR,82,18.1
2017-2018,Quinn Cook,GSW,33,22.4
2017-2018,DeMarcus Cousins,NOP,48,36.2
2017-2018,Robert Covington,PHI,80,31.6
2017-2018,Allen Crabbe,BRK,75,29.3
2017-2018,Torrey Craig,DEN,39,16.1
2017-2018,Jamal Crawford,MIN,80,20.7
2017-2018,Jae Crowder,UTA,80,26.1
2017-2018,Dante Cunningham,BRK,73,21.4
2017-2018,Stephen Curry,GSW,51,32.0
2017-2018,Troy Daniels,PHX,79,20.5
2017-2018,Anthony Davis,NOP,75,36.4
2017-2018,Deyonta Davis,MEM,62,15.2
2017-2018,Ed Davis,POR,78,18.9
2017-2018,Dewayne Dedmon,ATL,62,24.9
2017-2018,Sam Dekker,LAC,73,12.1
2017-2018,Malcolm Delaney,ATL,54,18.8
2017-2018,Matt Dellavedova,MIL,38,18.7
2017-2018,DeMar DeRozan,TOR,80,33.9
2017-2018,Cheick Diallo,NOP,52,11.2
2017-2018,Gorgui Dieng,MIN,79,16.9
2017-2018,Spencer Dinwiddie,BRK,80,28.8
2017-2018,Tyler Dorsey,ATL,56,17.4
2017-2018,Goran Dragic,MIA,75,31.7
2017-2018,Andre Drummond,DET,78,33.7
2017-2018,Jared Dudley,PHX,48,14.3
2017-2018,Kris Dunn,CHI,52,29.3
2017-2018,Kevin Durant,GSW,68,34.2
2017-2018,Wayne Ellington,MIA,77,26.5
2016-2017,Iman Shumpert,CLE,76,25.5
2016-2017,Pascal Siakam,TOR,55,15.6
2016-2017,Jonathon Simmons,SAS,78,17.9
2016-2017,Marcus Smart,BOS,79,30.4
2016-2017,Ish Smith,DET,81,24.1
2016-2017,J.R. Smith,CLE,41,29.0
2016-2017,Jason Smith,WAS,74,14.4
2016-2017,Tony Snell,MIL,80,29.2
2016-2017,Marreese Speights,LAC,82,15.7
2016-2017,Nik Stauskas,PHI,80,27.3
2016-2017,Rodney Stuckey,IND,39,17.9
2016-2017,Jeff Teague,IND,82,32.4
2016-2017,Mirza Teletovic,MIL,70,16.2
2016-2017,Garrett Temple,SAC,65,26.6
2016-2017,Jason Terry,MIL,74,18.4
2016-2017,Isaiah Thomas,BOS,76,33.8
2016-2017,Lance Thomas,NYK,46,21.0
2016-2017,Hollis Thompson,NOP,40,18.8
2016-2017,Klay Thompson,GSW,78,34.0
2016-2017,Tristan Thompson,CLE,78,30.0
2016-2017,Marcus Thornton,WAS,33,17.4
2016-2017,Anthony Tolliver,SAC,65,22.7
2016-2017,Karl-Anthony Towns,MIN,82,37.0
2016-2017,P.J. Tucker,TOR,81,27.6
2016-2017,Evan Turner,POR,65,25.5
2016-2017,Myles Turner,IND,81,31.4
2016-2017,Beno Udrih,DET,39,14.4
2016-2017,Tyler Ulis,PHX,61,18.4
2016-2017,Jonas Valanciunas,TOR,80,25.8
2016-2017,Denzel Valentine,CHI,57,17.1
2016-2017,Noah Vonleh,POR,74,17.1
2016-2017,Nikola Vucevic,ORL,75,28.8
2016-2017,Dwyane Wade,CHI,60,29.9
2016-2017,Dion Waiters,MIA,46,30.1
2016-2017,Kemba Walker,CHA,79,34.7
2016-2017,John Wall,WAS,78,36.4
2016-2017,T.J. Warren,PHX,66,31.0
2016-2017,C.J. Watson,ORL,62,16.3
2016-2017,David West,GSW,68,12.6
2016-2017,Russell Westbrook,OKC,81,34.6
2016-2017,Isaiah Whitehead,BRK,73,22.5
2016-2017,Hassan Whiteside,MIA,77,32.6
2016-2017,Andrew Wiggins,MIN,82,37.2
2016-2017,Alan Williams,PHX,47,15.1
2016-2017,Deron Williams,CLE,64,25.9
2016-2017,Derrick Williams,CLE,50,16.1
2016-2017,Lou Williams,HOU,81,24.6
2016-2017,Marvin Williams,CHA,76,30.2
2016-2017,Troy Williams,HOU,30,18.6
2016-2017,Justise Winslow,MIA,18,34.7
2016-2017,Delon Wright,TOR,27,16.5
2016-2017,Nick Young,LAL,60,25.9
2016-2017,Thaddeus Young,IND,74,30.2
2016-2017,Cody Zeller,CHA,62,27.8
2016-2017,Tyler Zeller,BOS,51,10.3
2016-2017,Paul Zipser,CHI,44,19.2
2016-2017,Ivica Zubac,LAL,38,16.0
2016-2017,Alex Len,PHX,77,20.3
2016-2017,Kawhi Leonard,SAS,74,33.4
2016-2017,Meyers Leonard,POR,74,16.5
2016-2017,Jon Leuer,DET,75,25.9
2016-2017,Caris LeVert,BRK,57,21.7
2016-2017,DeAndre Liggins,DAL,62,12.5
2016-2017,Damian Lillard,POR,75,35.9
2016-2017,Jeremy Lin,BRK,36,24.5
2016-2017,Shaun Livingston,GSW,76,17.7
2016-2017,Brook Lopez,BRK,75,29.6
2016-2017,Robin Lopez,CHI,81,28.0
2016-2017,Kevin Love,CLE,60,31.4
2016-2017,Kyle Lowry,TOR,60,37.4
2016-2017,Timothe Luwawu-Cabarrot,PHI,69,17.2
2016-2017,Trey Lyles,UTA,71,16.3
2016-2017,Shelvin Mack,UTA,55,21.9
2016-2017,Ian Mahinmi,WAS,31,17.9
2016-2017,Thon Maker,MIL,57,9.9
2016-2017,Jarell Martin,MEM,42,13.3
2016-2017,Wesley Matthews,DAL,73,34.2
2016-2017,Luc Mbah a Moute,LAC,80,22.3
2016-2017,James McAdoo,GSW,52,8.8
2016-2017,Patrick McCaw,GSW,71,15.1
2016-2017,C.J. McCollum,POR,80,34.9
2016-2017,T.J. McConnell,PHI,81,26.3
2016-2017,K.J. McDaniels,BRK,49,10.3
2016-2017,Doug McDermott,OKC,66,22.8
2016-2017,JaVale McGee,GSW,77,9.6
2016-2017,Rodney McGruder,MIA,78,25.2
2016-2017,Ben McLemore,SAC,61,19.3
2016-2017,Jodie Meeks,ORL,36,20.5
2016-2017,Salah Mejri,DAL,73,12.4
2016-2017,Khris Middleton,MIL,29,30.7
2016-2017,C.J. Miles,IND,76,23.4
2016-2017,Patty Mills,SAS,80,21.9
2016-2017,Paul Millsap,ATL,69,34.0
2016-2017,Nikola Mirotic,CHI,70,24.0
2016-2017,Greg Monroe,MIL,81,22.5
2016-2017,E'Twaun Moore,NOP,73,24.9
2016-2017,Marcus Morris,DET,79,32.5
2016-2017,Markieff Morris,WAS,76,31.2
2016-2017,Anthony Morrow,CHI,49,14.6
2016-2017,Timofey Mozgov,LAL,54,20.4
2016-2017,Emmanuel Mudiay,DEN,55,25.6
2016-2017,Shabazz Muhammad,MIN,78,19.4
2016-2017,Jamal Murray,DEN,82,21.5
2016-2017,Mike Muscala,ATL,70,17.7
2016-2017,"Larry Nance, Jr.",LAL,63,22.9
2016-2017,Shabazz Napier,POR,53,9.7
2016-2017,Jameer Nelson,DEN,75,27.3
2016-2017,Maybyner Nene,HOU,67,17.9
2016-2017,Joakim Noah,NYK,46,22.1
2016-2017,Nerlens Noel,DAL,51,20.5
2016-2017,Lucas Nogueira,TOR,57,19.1
2016-2017,Dirk Nowitzki,DAL,54,26.4
2016-2017,Jusuf Nurkic,POR,65,21.4
2016-2017,Kyle O'Quinn,NYK,79,15.6
2016-2017,Jahlil Okafor,PHI,50,22.7
2016-2017,Victor Oladipo,OKC,67,33.2
2016-2017,Kelly Olynyk,BOS,75,20.5
2016-2017,"Kelly Oubre, Jr.",WAS,79,20.3
2016-2017,Zaza Pachulia,GSW,70,18.1
2016-2017,Jabari Parker,MIL,51,33.9
2016-2017,Tony Parker,SAS,63,25.2
2016-2017,Chandler Parsons,MEM,34,19.8
2016-2017,Patrick Patterson,TOR,65,24.6
2016-2017,Chris Paul,LAC,61,31.5
2016-2017,Elfrid Payton,ORL,82,29.4
2016-2017,Mason Plumlee,DEN,81,26.5
2016-2017,Jakob Poeltl,TOR,54,11.6
2016-2017,Otto Porter,WAS,80,32.6
2016-2017,Bobby Portis,CHI,64,15.6
2016-2017,Kristaps Porzingis,NYK,66,32.8
2016-2017,Dwight Powell,DAL,77,17.3
2016-2017,Norman Powell,TOR,76,18.0
2016-2017,Taurean Prince,ATL,59,16.6
2016-2017,Julius Randle,LAL,74,28.8
2016-2017,Zach Randolph,MEM,73,24.5
2016-2017,J.J. Redick,LAC,78,28.2
2016-2017,Willie Reed,MIA,71,14.5
2016-2017,Josh Richardson,MIA,53,30.5
2016-2017,Austin Rivers,LAC,74,27.8
2016-2017,Andre Roberson,OKC,79,30.1
2016-2017,Glenn Robinson,IND,69,20.7
2016-2017,Thomas Robinson,LAL,48,11.7
2016-2017,Sergio Rodriguez,PHI,68,22.3
2016-2017,Rajon Rondo,CHI,69,26.7
2016-2017,Derrick Rose,NYK,64,32.5
2016-2017,Terrence Ross,ORL,78,25.1
2016-2017,Terry Rozier,BOS,74,17.1
2016-2017,Ricky Rubio,MIN,75,32.9
2016-2017,Brandon Rush,MIN,47,21.9
2016-2017,D'Angelo Russell,LAL,63,28.7
2016-2017,Domas Sabonis,OKC,81,20.1
2016-2017,Dario Saric,PHI,81,26.3
2016-2017,Tomas Satoransky,WAS,57,12.6
2016-2017,Dennis Schroder,ATL,79,31.5
2016-2017,Thabo Sefolosha,ATL,62,25.7
2016-2017,Kevin Seraphin,IND,49,11.4
2016-2017,Ramon Sessions,CHA,50,16.2
2016-2017,Tyreke Evans,SAC,40,19.7
2016-2017,Dante Exum,UTA,66,18.6
2016-2017,Kenneth Faried,DEN,61,21.2
2016-2017,Derrick Favors,UTA,50,23.7
2016-2017,Cristiano Felicio,CHI,66,15.8
2016-2017,Raymond Felton,LAC,80,21.2
2016-2017,Yogi Ferrell,DAL,46,26.0
2016-2017,Dorian Finney-Smith,DAL,81,20.3
2016-2017,Evan Fournier,ORL,68,32.8
2016-2017,Randy Foye,BRK,69,18.6
2016-2017,Tim Frazier,NOP,65,23.5
2016-2017,Channing Frye,CLE,74,18.9
2016-2017,Danilo Gallinari,DEN,63,33.9
2016-2017,Langston Galloway,SAC,74,20.2
2016-2017,Marc Gasol,MEM,74,34.2
2016-2017,Pau Gasol,SAS,64,25.4
2016-2017,Rudy Gay,SAC,30,33.8
2016-2017,Paul George,IND,75,35.9
2016-2017,Taj Gibson,OKC,78,25.5
2016-2017,Manu Ginobili,SAS,69,18.7
2016-2017,Rudy Gobert,UTA,81,33.9
2016-2017,Aaron Gordon,ORL,80,28.7
2016-2017,Eric Gordon,HOU,75,31.0
2016-2017,Marcin Gortat,WAS,82,31.2
2016-2017,Jerami Grant,OKC,80,19.1
2016-2017,Jerian Grant,CHI,63,16.3
2016-2017,Danny Green,SAS,68,26.6
2016-2017,Draymond Green,GSW,76,32.5
2016-2017,Gerald Green,BOS,47,11.4
2016-2017,JaMychal Green,MEM,77,27.3
2016-2017,Jeff Green,ORL,69,22.2
2016-2017,Blake Griffin,LAC,61,34.0
2016-2017,Justin Hamilton,BRK,64,18.4
2016-2017,Tim Hardaway Jr.,ATL,79,27.3
2016-2017,James Harden,HOU,81,36.4
2016-2017,Maurice Harkless,POR,77,28.9
2016-2017,Montrezl Harrell,HOU,58,18.3
2016-2017,Devin Harris,DAL,65,16.7
2016-2017,Gary Harris,DEN,57,31.3
2016-2017,Joe Harris,BRK,52,21.9
2016-2017,Tobias Harris,DET,82,31.3
2016-2017,Andrew Harrison,MEM,72,20.5
2016-2017,Spencer Hawes,MIL,54,14.8
2016-2017,Gordon Hayward,UTA,73,34.5
2016-2017,Gerald Henderson,PHI,72,23.2
2016-2017,John Henson,MIL,58,19.4
2016-2017,Juancho Hernangomez,DEN,62,13.6
2016-2017,Willy Hernangomez,NYK,72,18.4
2016-2017,Mario Hezonja,ORL,65,14.8
2016-2017,Roy Hibbert,DEN,48,14.2
2016-2017,Buddy Hield,SAC,82,23.0
2016-2017,George Hill,UTA,49,31.5
2016-2017,Solomon Hill,NOP,80,29.7
2016-2017,Jrue Holiday,NOP,67,32.7
2016-2017,Justin Holiday,NYK,82,20.0
2016-2017,Rondae Hollis-Jefferson,BRK,78,22.6
2016-2017,Richaun Holmes,PHI,57,20.9
2016-2017,Rodney Hood,UTA,59,27.0
2016-2017,Al Horford,BOS,68,32.3
2016-2017,Dwight Howard,ATL,74,29.7
2016-2017,Kris Humphries,ATL,56,12.3
2016-2017,Serge Ibaka,TOR,79,30.7
2016-2017,Andre Iguodala,GSW,76,26.3
2016-2017,Ersan Ilyasova,ATL,82,26.1
2016-2017,Joe Ingles,UTA,82,24.1
2016-2017,Brandon Ingram,LAL,79,28.9
2016-2017,Kyrie Irving,CLE,72,35.1
2016-2017,Reggie Jackson,DET,52,27.4
2016-2017,LeBron James,CLE,74,37.8
2016-2017,Al Jefferson,IND,66,14.1
2016-2017,Richard Jefferson,CLE,79,20.4
2016-2017,Brandon Jennings,WAS,81,22.2
2016-2017,Jonas Jerebko,BOS,78,15.8
2016-2017,Amir Johnson,BOS,80,20.1
2016-2017,James Johnson,MIA,76,27.4
2016-2017,Joe Johnson,UTA,78,23.6
2016-2017,Stanley Johnson,DET,77,17.8
2016-2017,Tyler Johnson,MIA,73,29.8
2016-2017,Wesley Johnson,LAC,68,11.9
2016-2017,Nikola Jokic,DEN,73,27.9
2016-2017,Derrick Jones,PHX,32,17.0
2016-2017,Terrence Jones,MIL,54,23.5
2016-2017,Tyus Jones,MIN,60,12.9
2016-2017,DeAndre Jordan,LAC,81,31.7
2016-2017,Cory Joseph,TOR,80,25.0
2016-2017,Frank Kaminsky,CHA,75,26.1
2016-2017,Enes Kanter,OKC,72,21.3
2016-2017,Michael Kidd-Gilchrist,CHA,81,29.0
2016-2017,Sean Kilpatrick,BRK,70,25.1
2016-2017,Brandon Knight,PHX,54,21.1
2016-2017,Kyle Korver,CLE,67,26.2
2016-2017,Kosta Koufos,SAC,71,20.0
2016-2017,Mindaugas Kuzminskas,NYK,68,14.9
2016-2017,Skal Labissiere,SAC,33,18.5
2016-2017,Jeremy Lamb,CHA,62,18.4
2016-2017,Joffrey Lauvergne,CHI,70,14.0
2016-2017,Zach LaVine,MIN,47,37.2
2016-2017,Ty Lawson,SAC,69,25.1
2016-2017,Courtney Lee,NYK,77,31.9
2016-2017,David Lee,SAS,79,18.7
2016-2017,Alex Abrines,OKC,68,15.5
2016-2017,Quincy Acy,BRK,38,14.7
2016-2017,Steven Adams,OKC,80,29.9
2016-2017,Arron Afflalo,SAC,61,25.9
2016-2017,Alexis Ajinca,NOP,39,15.0
2016-2017,Cole Aldrich,MIN,62,8.6
2016-2017,LaMarcus Aldridge,SAS,72,32.4
2016-2017,Lavoy Allen,IND,61,14.3
2016-2017,Tony Allen,MEM,71,27.0
2016-2017,Al-Farouq Aminu,POR,61,29.1
2016-2017,Justin Anderson,PHI,75,16.4
2016-2017,Kyle Anderson,SAS,72,14.2
2016-2017,Ryan Anderson,HOU,72,29.4
2016-2017,Giannis Antetokounmpo,MIL,80,35.6
2016-2017,Carmelo Anthony,NYK,74,34.3
2016-2017,Trevor Ariza,HOU,80,34.7
2016-2017,Darrell Arthur,DEN,41,15.6
2016-2017,D.J. Augustin,ORL,78,19.7
2016-2017,Luke Babbitt,MIA,68,15.7
2016-2017,Ron Baker,NYK,52,16.5
2016-2017,Leandro Barbosa,PHX,67,14.4
2016-2017,J.J. Barea,DAL,35,22.0
2016-2017,Harrison Barnes,DAL,79,35.5
2016-2017,Matt Barnes,GSW,74,24.0
2016-2017,Will Barton,DEN,60,28.4
2016-2017,Brandon Bass,LAC,52,11.1
2016-2017,Nicolas Batum,CHA,77,34.0
2016-2017,Aron Baynes,DET,75,15.5
2016-2017,Kent Bazemore,ATL,73,26.9
2016-2017,Bradley Beal,WAS,77,34.9
2016-2017,Michael Beasley,MIL,56,16.7
2016-2017,Marco Belinelli,CHA,74,24.0
2016-2017,Dragan Bender,PHX,43,13.3
2016-2017,Davis Bertans,SAS,67,12.1
2016-2017,Patrick Beverley,HOU,67,30.7
2016-2017,Bismack Biyombo,ORL,81,22.1
2016-2017,Nemanja Bjelica,MIN,65,18.3
2016-2017,Tarik Black,LAL,67,16.3
2016-2017,Eric Bledsoe,PHX,66,33.0
2016-2017,Bojan Bogdanovic,WAS,81,25.7
2016-2017,Andrew Bogut,CLE,27,21.6
