season,player,team,games_played,minutes_per_game
2008-2009,Udonis Haslem,MIA,75,34.1
2008-2009,Trenton Hassell,NJN,53,20.6
2008-2009,Spencer Hawes,SAC,77,29.3
2008-2009,Chuck Hayes,HOU,71,12.1
2008-2009,Jarvis Hayes,NJN,74,24.8
2008-2009,Walter Herrmann,DET,59,10.7
2008-2009,Roy Hibbert,IND,70,14.4
2008-2009,J.J. Hickson,CLE,62,11.4
2008-2009,George Hill,SAS,77,16.5
2008-2009,Grant Hill,PHX,82,29.8
2008-2009,Kirk Hinrich,CHI,51,26.2
2008-2009,Ryan Hollins,DAL,45,9.9
2008-2009,Al Horford,ATL,67,33.5
2008-2009,Eddie House,BOS,81,18.3
2008-2009,Dwight Howard,ORL,79,35.7
2008-2009,Josh Howard,DAL,52,32.0
2008-2009,Larry Hughes,NYK,55,26.9
2008-2009,Andre Iguodala,PHI,82,39.9
2008-2009,Zydrunas Ilgauskas,CLE,65,27.2
2008-2009,Allen Iverson,DET,57,36.7
2008-2009,Royal Ivey,PHI,71,12.1
2008-2009,Jarrett Jack,IND,82,33.1
2008-2009,Bobby Jackson,SAC,71,20.9
2008-2009,Stephen Jackson,GSW,59,39.6
2008-2009,LeBron James,CLE,81,37.7
2008-2009,Mike James,WAS,61,27.0
2008-2009,Antawn Jamison,WAS,81,38.2
2008-2009,Marko Jaric,MEM,53,11.4
2008-2009,Al Jefferson,MIN,50,36.7
2008-2009,Richard Jefferson,MIL,82,35.8
2008-2009,Jared Jeffries,NYK,56,23.4
2008-2009,Amir Johnson,DET,62,14.7
2008-2009,Anthony Johnson,ORL,80,18.5
2008-2009,Joe Johnson,ATL,79,39.5
2008-2009,Dahntay Jones,DEN,79,18.0
2008-2009,Fred Jones,LAC,52,28.8
2008-2009,James Jones,MIA,40,15.7
2008-2009,Solomon Jones,ATL,63,10.7
2008-2009,DeAndre Jordan,LAC,53,14.6
2008-2009,Chris Kaman,LAC,31,29.7
2008-2009,Jason Kapono,TOR,80,22.9
2008-2009,Jason Kidd,DAL,81,35.6
2008-2009,Andrei Kirilenko,UTA,67,27.3
2008-2009,Linas Kleiza,DEN,82,22.2
2008-2009,Brevin Knight,UTA,74,12.7
2008-2009,Kyle Korver,UTA,78,24.0
2008-2009,Kosta Koufos,UTA,48,11.8
2008-2009,Nenad Krstic,OKC,46,24.8
2008-2009,Carl Landry,HOU,69,21.3
2008-2009,Acie Law,ATL,55,10.2
2008-2009,Courtney Lee,ORL,77,25.2
2008-2009,David Lee,NYK,81,34.9
2008-2009,Rashard Lewis,ORL,79,36.2
2008-2009,Brook Lopez,NJN,82,30.5
2008-2009,Robin Lopez,PHX,60,10.2
2008-2009,Kevin Love,MIN,81,25.3
2008-2009,Kyle Lowry,HOU,77,21.8
2008-2009,Tyronn Lue,ORL,44,11.8
2008-2009,Corey Maggette,GSW,51,31.1
2008-2009,Jamaal Magloire,MIA,55,12.9
2008-2009,Stephon Marbury,BOS,23,18.0
2008-2009,Shawn Marion,TOR,69,35.8
2008-2009,Sean Marks,NOP,60,14.0
2008-2009,Kenyon Martin,DEN,66,32.0
2008-2009,Kevin Martin,SAC,51,38.2
2008-2009,Desmond Mason,OKC,39,27.3
2008-2009,Roger Mason,SAS,82,30.4
2008-2009,Jason Maxiell,DET,78,18.0
2008-2009,O.J. Mayo,MEM,82,38.1
2008-2009,Arron Afflalo,DET,74,16.7
2008-2009,LaMarcus Aldridge,POR,81,37.1
2008-2009,Joe Alexander,MIL,59,12.1
2008-2009,Malik Allen,MIL,49,11.8
2008-2009,Ray Allen,BOS,79,36.4
2008-2009,Tony Allen,BOS,46,19.3
2008-2009,Rafer Alston,ORL,77,31.8
2008-2009,Lou Amundson,PHX,76,13.7
2008-2009,Chris Andersen,DEN,71,20.6
2008-2009,Ryan Anderson,NJN,66,19.9
2008-2009,Carmelo Anthony,DEN,66,34.5
2008-2009,Joel Anthony,MIA,65,16.1
2008-2009,Trevor Ariza,LAL,82,24.4
2008-2009,Hilton Armstrong,NOP,70,15.6
2008-2009,Darrell Arthur,MEM,76,19.3
2008-2009,D.J. Augustin,CHA,72,26.5
2008-2009,Kelenna Azubuike,GSW,74,32.1
2008-2009,Renaldo Balkman,DEN,53,14.7
2008-2009,Leandro Barbosa,PHX,70,24.4
2008-2009,J.J. Barea,DAL,79,20.3
2008-2009,Andrea Bargnani,TOR,78,31.5
2008-2009,Matt Barnes,PHX,77,27.0
2008-2009,Brent Barry,HOU,56,15.3
2008-2009,Brandon Bass,DAL,81,19.4
2008-2009,Tony Battie,ORL,77,15.6
2008-2009,Shane Battier,HOU,60,33.9
2008-2009,Nicolas Batum,POR,79,18.4
2008-2009,Jerryd Bayless,POR,53,12.4
2008-2009,Michael Beasley,MIA,81,24.8
2008-2009,Marco Belinelli,GSW,42,21.0
2008-2009,Charlie Bell,MIL,70,25.5
2008-2009,Raja Bell,CHA,67,34.6
2008-2009,Mike Bibby,ATL,79,34.7
2008-2009,Andris Biedrins,GSW,62,30.1
2008-2009,Chauncey Billups,DEN,79,35.3
2008-2009,Steve Blake,POR,69,31.7
2008-2009,Andray Blatche,WAS,71,24.0
2008-2009,Keith Bogans,MIL,65,19.6
2008-2009,Andrew Bogut,MIL,36,31.2
2008-2009,Matt Bonner,SAS,81,23.8
2008-2009,Josh Boone,NJN,62,16.0
2008-2009,Carlos Boozer,UTA,37,32.3
2008-2009,Chris Bosh,TOR,77,38.0
2008-2009,Bruce Bowen,SAS,80,18.8
2008-2009,Elton Brand,PHI,29,31.7
2008-2009,Ronnie Brewer,UTA,81,32.2
2008-2009,Aaron Brooks,HOU,80,25.0
2008-2009,Bobby Brown,MIN,68,13.7
2008-2009,Devin Brown,NOP,63,13.8
2008-2009,Kwame Brown,DET,58,17.2
2008-2009,Shannon Brown,LAL,48,9.9
2008-2009,Kobe Bryant,LAL,82,36.1
2008-2009,Greg Buckner,MEM,63,13.9
2008-2009,Caron Butler,WAS,67,38.6
2008-2009,Rasual Butler,NOP,82,31.9
2008-2009,Andrew Bynum,LAL,50,28.9
2008-2009,Will Bynum,DET,57,14.1
2008-2009,Jose Calderon,TOR,68,34.3
2008-2009,Marcus Camby,LAC,62,31.1
2008-2009,Brian Cardinal,MIN,64,14.2
2008-2009,Rodney Carney,MIN,67,17.9
