player,player_salary,season
Kevin Garnett,"$25,200,000",2002/03
Shaquille O'Neal,"$23,571,429",2002/03
Alonzo Mourning,"$20,629,800",2002/03
Juwan Howard,"$20,625,000",2002/03
Scottie Pippen,"$19,727,524",2002/03
Karl Malone,"$19,250,000",2002/03
Rasheed Wallace,"$16,200,000",2002/03
Dikembe Mutombo,"$16,105,264",2002/03
Allan Houston,"$14,343,750",2002/03
Chris Webber,"$14,343,750",2002/03
Shawn Kemp,"$13,651,028",2002/03
Bryant Reeves,"$12,999,998",2002/03
Gary Payton,"$12,636,117",2002/03
Antonio McDyess,"$12,600,000",2002/03
Shareef Abdur-Rahim,"$12,375,000",2002/03
Antoine Walker,"$12,375,000",2002/03
Vin Baker,"$12,375,000",2002/03
Zydrunas Ilgauskas,"$12,375,000",2002/03
Kobe Bryant,"$12,375,000",2002/03
Ray Allen,"$12,375,000",2002/03
Latrell Sprewell,"$12,375,000",2002/03
Allen Iverson,"$12,375,000",2002/03
Anfernee Hardaway,"$12,375,000",2002/03
Stephon Marbury,"$12,375,000",2002/03
Damon Stoudamire,"$12,375,000",2002/03
Jalen Rose,"$12,072,500",2002/03
Grant Hill,"$12,072,500",2002/03
Tracy McGrady,"$12,072,500",2002/03
Keith Van Horn,"$12,072,500",2002/03
Tim Duncan,"$12,072,500",2002/03
Reggie Miller,"$12,046,473",2002/03
Antonio Davis,"$12,000,000",2002/03
Michael Finley,"$11,953,125",2002/03
Vlade Divac,"$11,248,076",2002/03
Eddie Jones,"$11,212,500",2002/03
Nick Van Exel,"$11,061,234",2002/03
Brian Grant,"$11,027,862",2002/03
Tom Gugliotta,"$10,892,000",2002/03
Tim Thomas,"$10,750,000",2002/03
David Robinson,"$10,500,000",2002/03
Terrell Brandon,"$10,175,000",2002/03
Paul Pierce,"$10,067,750",2002/03
Dirk Nowitzki,"$10,067,750",2002/03
Antawn Jamison,"$10,067,750",2002/03
Vince Carter,"$10,067,750",2002/03
Steve Smith,"$9,900,000",2002/03
Glenn Robinson,"$9,860,000",2002/03
Larry Johnson,"$9,610,714",2002/03
Derrick Coleman,"$9,380,000",2002/03
Theo Ratliff,"$9,375,000",2002/03
Jason Kidd,"$9,265,000",2002/03
Glen Rice,"$9,200,000",2002/03
Kenny Anderson,"$9,185,000",2002/03
Kerry Kittles,"$8,966,667",2002/03
Matt Geiger,"$8,768,480",2002/03
Mike Bibby,"$8,500,000",2002/03
Clifford Robinson,"$8,421,875",2002/03
Dale Davis,"$8,055,000",2002/03
Toni Kukoc,"$8,050,000",2002/03
Elden Campbell,"$8,050,000",2002/03
John Stockton,"$7,875,000",2002/03
Greg Ostertag,"$7,799,996",2002/03
Jamal Mashburn,"$7,750,000",2002/03
Raef LaFrentz,"$7,270,000",2002/03
Maurice Taylor,"$7,150,000",2002/03
Derek Anderson,"$7,144,500",2002/03
Alan Henderson,"$7,091,250",2002/03
PJ Brown,"$7,044,800",2002/03
Wesley Person,"$7,000,000",2002/03
Austin Croshere,"$6,960,000",2002/03
Jermaine O'Neal,"$6,900,000",2002/03
Luc Longley,"$6,900,000",2002/03
Erick Dampier,"$6,858,500",2002/03
Arvydas Sabonis,"$6,850,000",2002/03
Marcus Camby,"$6,750,000",2002/03
Ron Mercer,"$6,750,000",2002/03
Kelvin Cato,"$6,696,000",2002/03
Tyrone Hill,"$6,600,000",2002/03
Bo Outlaw,"$6,585,000",2002/03
Jerry Stackhouse,"$6,375,000",2002/03
Bonzi Wells,"$6,300,000",2002/03
Doug Christie,"$6,250,000",2002/03
Rashard Lewis,"$6,233,766",2002/03
Nick Anderson,"$6,101,906",2002/03
Shandon Anderson,"$6,100,000",2002/03
Michael Olowokandi,"$6,061,213",2002/03
Lorenzen Wright,"$6,050,000",2002/03
Chris Mills,"$6,000,000",2002/03
Steve Nash,"$5,750,000",2002/03
Hakeem Olajuwon,"$5,694,231",2002/03
Eddie Robinson,"$5,687,000",2002/03
Bob Sura,"$5,639,999",2002/03
Tariq Abdul-Wahad,"$5,625,000",2002/03
Predrag Stojakovic,"$5,625,000",2002/03
Charlie Ward,"$5,570,000",2002/03
Jason Williams,"$5,500,000",2002/03
Michael Dickerson,"$5,500,000",2002/03
Loy Vaught,"$5,364,964",2002/03
Alvin Williams,"$5,350,000",2002/03
Howard Eisley,"$5,312,500",2002/03
Robert Horry,"$5,300,000",2002/03
Jason Caffey,"$5,250,000",2002/03
Jerome Williams,"$5,250,000",2002/03
Vitaly Potapenko,"$5,238,750",2002/03
Ben Wallace,"$5,200,000",2002/03
Donyell Marshall,"$5,186,542",2002/03
Christian Laettner,"$5,062,500",2002/03
Al Harrington,"$5,060,000",2002/03
Brent Barry,"$5,040,000",2002/03
Danny Fortson,"$5,039,068",2002/03
Eric Williams,"$5,004,000",2002/03
Brevin Knight,"$5,000,000",2002/03
Calvin Booth,"$4,992,900",2002/03
Avery Johnson,"$4,991,800",2002/03
Joe Smith,"$4,991,800",2002/03
Clarence Weatherspoon,"$4,991,800",2002/03
Todd MacCulloch,"$4,991,800",2002/03
Ruben Patterson,"$4,991,800",2002/03
Cuttino Mobley,"$4,903,750",2002/03
Kurt Thomas,"$4,903,750",2002/03
Jahidi White,"$4,903,750",2002/03
Elton Brand,"$4,895,656",2002/03
Sam Cassell,"$4,850,000",2002/03
Scot Pollard,"$4,826,874",2002/03
Brad Miller,"$4,800,000",2002/03
Nazr Mohammed,"$4,750,000",2002/03
Ricky Davis,"$4,546,000",2002/03
Chauncey Billups,"$4,546,000",2002/03
Devean George,"$4,546,000",2002/03
Jerome James,"$4,546,000",2002/03
Keon Clark,"$4,546,000",2002/03
Danny Ferry,"$4,546,000",2002/03
Larry Hughes,"$4,546,000",2002/03
Mark Jackson,"$4,530,000",2002/03
Corliss Williamson,"$4,500,000",2002/03
Aaron McKie,"$4,500,000",2002/03
Jim McIlvaine,"$4,400,000",2002/03
Adonal Foyle,"$4,400,000",2002/03
Steve Francis,"$4,383,581",2002/03
Anthony Mason,"$4,370,819",2002/03
Malik Rose,"$4,370,000",2002/03
Rick Fox,"$4,340,231",2002/03
Derek Strong,"$4,212,000",2002/03
Michael Stewart,"$4,160,000",2002/03
Eric Snow,"$4,125,000",2002/03
Lamond Murray,"$4,125,000",2002/03
Kenyon Martin,"$4,067,160",2002/03
Brent Price,"$4,048,000",2002/03
Darrell Armstrong,"$4,010,000",2002/03
Tony Battie,"$4,000,000",2002/03
Shawn Bradley,"$4,000,000",2002/03
Travis Knight,"$4,000,000",2002/03
Matt Harpring,"$4,000,000",2002/03
Ervin Johnson,"$3,998,679",2002/03
Kwame Brown,"$3,974,760",2002/03
Baron Davis,"$3,942,922",2002/03
Lindsey Hunter,"$3,870,912",2002/03
Yao Ming,"$3,858,240",2002/03
Zeljko Rebraca,"$3,850,000",2002/03
Tracy Murray,"$3,740,000",2002/03
Anthony Carter,"$3,656,250",2002/03
Stromile Swift,"$3,639,000",2002/03
Chucky Atkins,"$3,600,000",2002/03
David Wesley,"$3,600,000",2002/03
Marc Jackson,"$3,575,000",2002/03
Lamar Odom,"$3,557,585",2002/03
Tyson Chandler,"$3,556,200",2002/03
Bruce Bowen,"$3,550,000",2002/03
Jay Williams,"$3,451,920",2002/03
Jud Buechler,"$3,450,000",2002/03
Antonio Daniels,"$3,375,000",2002/03
Anthony Peeler,"$3,350,812",2002/03
Lawrence Funderburke,"$3,300,000",2002/03
Darius Miles,"$3,267,960",2002/03
Andrew DeClercq,"$3,262,500",2002/03
Jonathan Bender,"$3,226,745",2002/03
Pau Gasol,"$3,193,680",2002/03
Jon Barry,"$3,175,000",2002/03
Moochie Norris,"$3,150,000",2002/03
Evan Eschmeyer,"$3,103,800",2002/03
Mike Dunleavy,"$3,100,080",2002/03
LaPhonso Ellis,"$3,100,000",2002/03
Eduardo Najera,"$3,047,620",2002/03
Chris Whitney,"$3,000,000",2002/03
Eric Piatkowski,"$3,000,000",2002/03
Derek Fisher,"$3,000,000",2002/03
Michael Redd,"$3,000,000",2002/03
Jeff McInnis,"$3,000,000",2002/03
Marcus Fizer,"$2,946,240",2002/03
Matt Maloney,"$2,945,716",2002/03
Wally Szczerbiak,"$2,933,187",2002/03
Eddy Curry,"$2,879,280",2002/03
Rodney Rogers,"$2,796,000",2002/03
Drew Gooden,"$2,794,920",2002/03
Chris Crawford,"$2,750,000",2002/03
Eric Montross,"$2,720,000",2002/03
Tony Delk,"$2,700,000",2002/03
Aaron Williams,"$2,700,000",2002/03
Othella Harrington,"$2,700,000",2002/03
Randy Brown,"$2,700,000",2002/03
Bobby Jackson,"$2,700,000",2002/03
Hubert Davis,"$2,687,500",2002/03
Richard Hamilton,"$2,681,783",2002/03
Mike Miller,"$2,668,080",2002/03
Horace Grant,"$2,661,538",2002/03
Lucious Harris,"$2,640,000",2002/03
Sean Rooks,"$2,640,000",2002/03
Steve Kerr,"$2,625,000",2002/03
Jason Richardson,"$2,607,360",2002/03
Jamie Feick,"$2,600,000",2002/03
Michael Curry,"$2,600,000",2002/03
George Lynch,"$2,600,000",2002/03
George McCloud,"$2,599,900",2002/03
Tony Massenburg,"$2,541,098",2002/03
Nikoloz Tskitishvili,"$2,530,920",2002/03
Andre Miller,"$2,460,709",2002/03
Mikki Moore,"$2,459,142",2002/03
Radoslav Nesterovic,"$2,436,813",2002/03
DerMarr Johnson,"$2,423,280",2002/03
Bimbo Coles,"$2,400,000",2002/03
Stacey Augmon,"$2,400,000",2002/03
Greg Buckner,"$2,400,000",2002/03
John Amaechi,"$2,392,500",2002/03
Shane Battier,"$2,368,200",2002/03
Pat Garrity,"$2,350,000",2002/03
Dajuan Wagner,"$2,298,840",2002/03
Shawn Marion,"$2,265,375",2002/03
Chris Mihm,"$2,212,200",2002/03
Eddie Griffin,"$2,161,920",2002/03
Jason Terry,"$2,153,934",2002/03
Cory Alexander,"$2,149,259",2002/03
Corey Maggette,"$2,069,764",2002/03
Lorenzo Williams,"$2,068,000",2002/03
Jamal Crawford,"$2,026,680",2002/03
Shammond Williams,"$2,000,000",2002/03
Bryant Stith,"$2,000,000",2002/03
Troy Hudson,"$2,000,000",2002/03
DeSagana Diop,"$1,980,600",2002/03
Nenê,"$1,945,520",2002/03
Chris Wilcox,"$1,922,520",2002/03
Metta World Peace,"$1,904,860",2002/03
Wang Zhizhi,"$1,900,000",2002/03
Tyronn Lue,"$1,870,000",2002/03
Joel Przybilla,"$1,862,880",2002/03
Patrick Ewing,"$1,850,000",2002/03
Rodney White,"$1,820,520",2002/03
Keyon Dooling,"$1,769,760",2002/03
Amare Stoudemire,"$1,767,120",2002/03
Chris Childs,"$1,750,000",2002/03
Marko Jaric,"$1,750,000",2002/03
Joe Johnson,"$1,729,560",2002/03
James Posey,"$1,723,606",2002/03
Jerome Moiso,"$1,681,200",2002/03
Caron Butler,"$1,678,800",2002/03
Muggsy Bogues,"$1,659,120",2002/03
Kedrick Brown,"$1,643,040",2002/03
Etan Thomas,"$1,597,200",2002/03
Jared Jeffries,"$1,594,920",2002/03
Dion Glover,"$1,584,312",2002/03
Jeff Foster,"$1,571,335",2002/03
Vladimir Radmanovic,"$1,560,840",2002/03
Kenny Thomas,"$1,557,684",2002/03
Samaki Walker,"$1,540,000",2002/03
Courtney Alexander,"$1,517,280",2002/03
Greg Anthony,"$1,500,000",2002/03
Cezary Trybanski,"$1,500,000",2002/03
Melvin Ely,"$1,490,120",2002/03
Richard Jefferson,"$1,482,840",2002/03
Mateen Cleaves,"$1,441,440",2002/03
Marcus Haislip,"$1,439,400",2002/03
Matt Bullard,"$1,430,000",2002/03
Jumaine Jones,"$1,419,026",2002/03
Troy Murphy,"$1,408,680",2002/03
Corie Blount,"$1,400,000",2002/03
Fred Hoiberg,"$1,400,000",2002/03
Stanislav Medvedenko,"$1,400,000",2002/03
Gordan Giricek,"$1,400,000",2002/03
Travis Best,"$1,400,000",2002/03
Michael Doleac,"$1,400,000",2002/03
Bryon Russell,"$1,400,000",2002/03
Jason Collier,"$1,369,440",2002/03
Fred Jones,"$1,367,400",2002/03
Vladimir Stepania,"$1,350,000",2002/03
Steven Hunter,"$1,338,240",2002/03
Manu Ginobili,"$1,325,000",2002/03
Hidayet Turkoglu,"$1,300,920",2002/03
Bryce Drew,"$1,300,000",2002/03
Kirk Haston,"$1,271,400",2002/03
Earl Boykins,"$1,243,605",2002/03
Desmond Mason,"$1,235,880",2002/03
Jiri Welsch,"$1,234,080",2002/03
Bostjan Nachbar,"$1,224,000",2002/03
Earl Watson,"$1,215,000",2002/03
Michael Bradley,"$1,207,800",2002/03
Quentin Richardson,"$1,174,080",2002/03
Juan Dixon,"$1,172,400",2002/03
Jarron Collins,"$1,150,000",2002/03
Jason Collins,"$1,147,440",2002/03
Jamaal Magloire,"$1,121,280",2002/03
Curtis Borchardt,"$1,113,720",2002/03
Ryan Bowen,"$1,111,111",2002/03
Don Reid,"$1,100,000",2002/03
Zach Randolph,"$1,095,720",2002/03
Speedy Claxton,"$1,076,400",2002/03
Ryan Humphrey,"$1,063,680",2002/03
Brendan Haywood,"$1,051,920",2002/03
Morris Peterson,"$1,033,320",2002/03
Popeye Jones,"$1,030,000",2002/03
Walt Williams,"$1,030,000",2002/03
Mark Bryant,"$1,030,000",2002/03
Brian Shaw,"$1,030,000",2002/03
Kendall Gill,"$1,030,000",2002/03
Rod Strickland,"$1,030,000",2002/03
Scott Williams,"$1,030,000",2002/03
Chris Dudley,"$1,030,000",2002/03
Kevin Willis,"$1,030,000",2002/03
Charles Oakley,"$1,030,000",2002/03
Michael Jordan,"$1,030,000",2002/03
Kareem Rush,"$1,021,080",2002/03
Joseph Forte,"$1,009,920",2002/03
Tim Hardaway,"$1,000,000",2002/03
Mehmet Okur,"$1,000,000",2002/03
Kevin Ollie,"$1,000,000",2002/03
Calbert Cheaney,"$1,000,000",2002/03
Donnell Harvey,"$992,040",2002/03
Qyntel Woods,"$980,280",2002/03
Jeryl Sasser,"$969,480",2002/03
DeShawn Stevenson,"$952,320",2002/03
Casey Jacobsen,"$941,040",2002/03
Brandon Armstrong,"$930,720",2002/03
Tayshaun Prince,"$903,360",2002/03
Efthimios Rentzias,"$903,360",2002/03
Danny Manning,"$900,000",2002/03
Andrei Kirilenko,"$893,400",2002/03
Monty Williams,"$887,435",2002/03
Iakovos Tsakalidis,"$877,680",2002/03
Gerald Wallace,"$857,760",2002/03
Bobby Simmons,"$849,892",2002/03
Mamadou N'diaye,"$848,520",2002/03
Amal McCaskill,"$843,212",2002/03
Frank Williams,"$832,560",2002/03
Dalibor Bagaric,"$830,947",2002/03
Emanual Davis,"$824,935",2002/03
Cherokee Parks,"$824,935",2002/03
Gary Trent,"$824,935",2002/03
Voshon Lenard,"$824,935",2002/03
Mark Madsen,"$813,000",2002/03
Jamaal Tinsley,"$805,320",2002/03
Primoz Brezec,"$805,320",2002/03
Tony Parker,"$800,400",2002/03
J.R. Reid,"$800,000",2002/03
Jim Jackson,"$791,341",2002/03
Chris Jefferies,"$781,800",2002/03
Dan Dickau,"$776,880",2002/03
Walter McCarty,"$762,435",2002/03
Mark Blount,"$762,435",2002/03
Erick Strickland,"$762,435",2002/03
Milt Palacio,"$750,000",2002/03
Robert Traylor,"$750,000",2002/03
Darvin Ham,"$699,935",2002/03
Anthony Johnson,"$699,935",2002/03
Rick Brunson,"$699,935",2002/03
Jacque Vaughn,"$699,935",2002/03
Stephen Jackson,"$699,935",2002/03
Samuel Dalembert,"$691,100",2002/03
Erick Barkley,"$682,500",2002/03
John Salmons,"$670,800",2002/03
Loren Woods,"$662,435",2002/03
Bruno Sundov,"$637,435",2002/03
Adrian Griffin,"$637,435",2002/03
Eddie House,"$637,435",2002/03
Felipe Lopez,"$637,435",2002/03
Mark Pope,"$637,435",2002/03
Brian Skinner,"$637,435",2002/03
Charles Smith,"$637,435",2002/03
Damon Jones,"$637,435",2002/03
Jelani McCoy,"$637,435",2002/03
Raja Bell,"$612,435",2002/03
Sean Marks,"$612,435",2002/03
Ansu Sesay,"$612,435",2002/03
Scott Padgett,"$612,435",2002/03
Ira Newble,"$587,435",2002/03
Ruben Wolkowyski,"$587,435",2002/03
Pepe Sanchez,"$587,435",2002/03
Juaquin Hawkins,"$587,435",2002/03
Lavor Postell,"$587,435",2002/03
Lee Nailon,"$587,435",2002/03
Olumide Oyedeji,"$587,435",2002/03
Dan Langhi,"$587,435",2002/03
Jake Voskuhl,"$587,435",2002/03
Brian Cardinal,"$587,435",2002/03
Raul Lopez,"$578,160",2002/03
Carlos Arroyo,"$546,000",2002/03
Predrag Drobnjak,"$526,413",2002/03
Mengke Bateer,"$512,453",2002/03
Brian Scalabrine,"$512,435",2002/03
Trenton Hassell,"$512,435",2002/03
Chris Andersen,"$512,435",2002/03
Gilbert Arenas,"$512,435",2002/03
Terence Morris,"$512,435",2002/03
Jamison Brewer,"$512,435",2002/03
Tremaine Fowlkes,"$512,435",2002/03
Malik Allen,"$512,435",2002/03
Mike James,"$512,435",2002/03
Kenny Satterfield,"$512,435",2002/03
Alton Ford,"$512,435",2002/03
Ruben Boumtje-Boumtje,"$512,435",2002/03
Greg Foster,"$401,951",2002/03
JR Bremer,"$349,458",2002/03
Tamar Slay,"$349,458",2002/03
Lonny Baxter,"$349,458",2002/03
Roger Mason,"$349,458",2002/03
Carlos Boozer,"$349,458",2002/03
Smush Parker,"$349,458",2002/03
Junior Harrington,"$349,458",2002/03
Predrag Savovic,"$349,458",2002/03
Vincent Yarbrough,"$349,458",2002/03
Tito Maddox,"$349,458",2002/03
Jannero Pargo,"$349,458",2002/03
Chris Owens,"$349,458",2002/03
Mike Batiste,"$349,458",2002/03
Robert Archibald,"$349,458",2002/03
Ken Johnson,"$349,458",2002/03
Rasual Butler,"$349,458",2002/03
Sean Lampley,"$349,458",2002/03
Dan Gadzuric,"$349,458",2002/03
Jamal Sampson,"$349,458",2002/03
Ronald Murray,"$349,458",2002/03
Igor Rakocevic,"$349,458",2002/03
Reggie Evans,"$349,458",2002/03
Pat Burke,"$349,458",2002/03
Sam Clancy,"$349,458",2002/03
Nate Huffman,"$349,458",2002/03
Reggie Slater,"$321,926",2002/03
Art Long,"$229,243",2002/03
Jermaine Jackson,"$171,932",2002/03
Oscar Torres,"$168,729",2002/03
Adam Harrington,"$140,636",2002/03
Anthony Goldwire,"$139,925",2002/03
John Crotty,"$138,171",2002/03
Pete Mickeal,"$136,374",2002/03
Soumaila Samake,"$124,984",2002/03
Ratko Varda,"$124,984",2002/03
Dean Oliver,"$118,735",2002/03
Antonio Harvey,"$60,361",2002/03
Mark Strickland,"$60,361",2002/03
Mike Wilks,"$55,402",2002/03
Rafer Alston,"$37,344",2002/03
Guy Rucker,"$34,946",2002/03
Devin Brown,"$34,946",2002/03
Paul Shirley,"$29,832",2002/03
Kevin Garnett,"$28,000,000",2003/04
Shaquille O'Neal,"$24,749,999",2003/04
Dikembe Mutombo,"$17,714,291",2003/04
Rasheed Wallace,"$17,000,000",2003/04
Allan Houston,"$15,937,500",2003/04
Chris Webber,"$15,937,500",2003/04
Shawn Kemp,"$14,941,935",2003/04
Shareef Abdur-Rahim,"$13,500,000",2003/04
Vin Baker,"$13,500,000",2003/04
Zydrunas Ilgauskas,"$13,500,000",2003/04
Antoine Walker,"$13,500,000",2003/04
Kobe Bryant,"$13,500,000",2003/04
Latrell Sprewell,"$13,500,000",2003/04
Antonio McDyess,"$13,500,000",2003/04
Ray Allen,"$13,500,000",2003/04
Allen Iverson,"$13,500,000",2003/04
Anfernee Hardaway,"$13,500,000",2003/04
Stephon Marbury,"$13,500,000",2003/04
Michael Finley,"$13,281,250",2003/04
Keith Van Horn,"$13,279,750",2003/04
Grant Hill,"$13,279,750",2003/04
Tracy McGrady,"$13,279,750",2003/04
Jalen Rose,"$13,279,750",2003/04
Jason Kidd,"$13,152,000",2003/04
Jermaine O'Neal,"$13,152,000",2003/04
Antonio Davis,"$12,925,000",2003/04
Tim Duncan,"$12,676,125",2003/04
Damon Stoudamire,"$12,375,000",2003/04
Eddie Jones,"$12,333,750",2003/04
Brian Grant,"$12,130,648",2003/04
Vlade Divac,"$12,051,510",2003/04
Nick Van Exel,"$11,956,625",2003/04
Tim Thomas,"$11,825,000",2003/04
Tom Gugliotta,"$11,670,000",2003/04
Paul Pierce,"$11,326,219",2003/04
Antawn Jamison,"$11,326,219",2003/04
Dirk Nowitzki,"$11,326,219",2003/04
Vince Carter,"$11,326,219",2003/04
Terrell Brandon,"$11,100,000",2003/04
Steve Francis,"$10,960,000",2003/04
Elton Brand,"$10,960,000",2003/04
Baron Davis,"$10,960,000",2003/04
Shawn Marion,"$10,960,000",2003/04
Glenn Robinson,"$10,730,000",2003/04
Theo Ratliff,"$10,156,250",2003/04
Lamar Odom,"$9,963,596",2003/04
Mike Bibby,"$9,500,000",2003/04
Kerry Kittles,"$9,266,666",2003/04
Dale Davis,"$9,061,875",2003/04
Toni Kukoc,"$9,056,250",2003/04
Greg Ostertag,"$8,666,666",2003/04
Gilbert Arenas,"$8,536,000",2003/04
Jamal Mashburn,"$8,525,000",2003/04
Jason Terry,"$8,333,333",2003/04
Raef LaFrentz,"$8,178,750",2003/04
Andre Miller,"$8,000,000",2003/04
Wally Szczerbiak,"$8,000,000",2003/04
PJ Brown,"$8,000,000",2003/04
Glen Rice,"$7,885,000",2003/04
Erick Dampier,"$7,842,000",2003/04
Maurice Taylor,"$7,800,000",2003/04
Derek Anderson,"$7,794,000",2003/04
Wesley Person,"$7,700,000",2003/04
Alan Henderson,"$7,682,188",2003/04
Austin Croshere,"$7,610,000",2003/04
Kelvin Cato,"$7,344,000",2003/04
Marcus Camby,"$7,250,000",2003/04
Rashard Lewis,"$7,012,987",2003/04
Corey Maggette,"$7,000,000",2003/04
Bonzi Wells,"$7,000,000",2003/04
Brad Miller,"$7,000,000",2003/04
Jerry Stackhouse,"$6,906,250",2003/04
Doug Christie,"$6,900,000",2003/04
Ron Mercer,"$6,750,000",2003/04
Shandon Anderson,"$6,700,000",2003/04
Chris Mills,"$6,600,000",2003/04
Lorenzen Wright,"$6,600,000",2003/04
Bo Outlaw,"$6,585,000",2003/04
Richard Hamilton,"$6,500,000",2003/04
Hakeem Olajuwon,"$6,326,923",2003/04
Bob Sura,"$6,266,666",2003/04
Predrag Stojakovic,"$6,250,000",2003/04
Eddie Robinson,"$6,204,000",2003/04
Tariq Abdul-Wahad,"$6,187,500",2003/04
Jason Williams,"$6,187,500",2003/04
Michael Dickerson,"$6,187,500",2003/04
Charlie Ward,"$6,030,000",2003/04
Jerome Williams,"$5,987,500",2003/04
Howard Eisley,"$5,843,750",2003/04
Jonathan Bender,"$5,800,000",2003/04
Steve Nash,"$5,750,000",2003/04
Vitaly Potapenko,"$5,715,000",2003/04
Al Harrington,"$5,692,500",2003/04
Jason Caffey,"$5,687,500",2003/04
Jahidi White,"$5,676,091",2003/04
Christian Laettner,"$5,625,000",2003/04
Radoslav Nesterovic,"$5,600,000",2003/04
Eric Williams,"$5,540,000",2003/04
Ben Wallace,"$5,500,000",2003/04
Kenny Thomas,"$5,500,000",2003/04
Alvin Williams,"$5,500,000",2003/04
Metta World Peace,"$5,473,684",2003/04
Calvin Booth,"$5,446,800",2003/04
Avery Johnson,"$5,445,600",2003/04
Clarence Weatherspoon,"$5,445,600",2003/04
Joe Smith,"$5,445,600",2003/04
Todd MacCulloch,"$5,445,600",2003/04
Ruben Patterson,"$5,445,600",2003/04
Danny Fortson,"$5,428,602",2003/04
Brent Barry,"$5,400,000",2003/04
Cuttino Mobley,"$5,394,125",2003/04
Kurt Thomas,"$5,394,125",2003/04
Scot Pollard,"$5,309,563",2003/04
Kenyon Martin,"$5,128,689",2003/04
Sam Cassell,"$5,062,500",2003/04
Ricky Davis,"$5,000,600",2003/04
Chauncey Billups,"$5,000,600",2003/04
Jerome James,"$5,000,600",2003/04
Keon Clark,"$5,000,600",2003/04
Larry Hughes,"$5,000,600",2003/04
Nazr Mohammed,"$5,000,000",2003/04
Corliss Williamson,"$5,000,000",2003/04
Reggie Miller,"$5,000,000",2003/04
Aaron McKie,"$5,000,000",2003/04
Brevin Knight,"$5,000,000",2003/04
Alonzo Mourning,"$4,917,000",2003/04
Scottie Pippen,"$4,917,000",2003/04
Gary Payton,"$4,917,000",2003/04
James Posey,"$4,917,000",2003/04
Michael Olowokandi,"$4,917,000",2003/04
Juwan Howard,"$4,917,000",2003/04
Malik Rose,"$4,916,250",2003/04
Rick Fox,"$4,734,797",2003/04
Clifford Robinson,"$4,700,000",2003/04
Donyell Marshall,"$4,605,196",2003/04
Stromile Swift,"$4,592,418",2003/04
Devean George,"$4,546,000",2003/04
Eric Snow,"$4,500,000",2003/04
Robert Horry,"$4,500,000",2003/04
Lamond Murray,"$4,500,000",2003/04
Michael Stewart,"$4,480,000",2003/04
Ervin Johnson,"$4,418,156",2003/04
Travis Knight,"$4,402,500",2003/04
Tony Battie,"$4,400,000",2003/04
Adonal Foyle,"$4,400,000",2003/04
Anthony Mason,"$4,348,094",2003/04
Matt Harpring,"$4,290,000",2003/04
Kwame Brown,"$4,252,080",2003/04
Zeljko Rebraca,"$4,200,000",2003/04
Yao Ming,"$4,147,560",2003/04
Darius Miles,"$4,130,701",2003/04
LeBron James,"$4,018,920",2003/04
Elden Campbell,"$4,000,000",2003/04
Jeff Foster,"$4,000,000",2003/04
Derrick Coleman,"$4,000,000",2003/04
David Wesley,"$3,960,000",2003/04
Chucky Atkins,"$3,900,000",2003/04
Marc Jackson,"$3,900,000",2003/04
Tyson Chandler,"$3,804,360",2003/04
Marcus Fizer,"$3,726,994",2003/04
Jay Williams,"$3,710,880",2003/04
Bruce Bowen,"$3,650,000",2003/04
Lawrence Funderburke,"$3,600,000",2003/04
Darko Milicic,"$3,595,800",2003/04
Shawn Bradley,"$3,500,000",2003/04
Moochie Norris,"$3,500,000",2003/04
Eduardo Najera,"$3,428,572",2003/04
Mike Miller,"$3,380,457",2003/04
Mike Dunleavy,"$3,332,520",2003/04
Jeff McInnis,"$3,300,000",2003/04
Carmelo Anthony,"$3,229,200",2003/04
Eddy Curry,"$3,080,160",2003/04
Rodney Rogers,"$3,075,600",2003/04
Evan Eschmeyer,"$3,017,266",2003/04
Matt Maloney,"$3,006,260",2003/04
Drew Gooden,"$3,004,560",2003/04
Chris Crawford,"$3,000,000",2003/04
Jon Barry,"$3,000,000",2003/04
Lindsey Hunter,"$3,000,000",2003/04
Speedy Claxton,"$3,000,000",2003/04
Derek Fisher,"$3,000,000",2003/04
Michael Redd,"$3,000,000",2003/04
Eric Montross,"$2,960,000",2003/04
Hubert Davis,"$2,956,250",2003/04
Aaron Williams,"$2,925,000",2003/04
Tony Delk,"$2,925,000",2003/04
Othella Harrington,"$2,925,000",2003/04
Bobby Jackson,"$2,925,000",2003/04
Chris Bosh,"$2,911,320",2003/04
Chris Mihm,"$2,809,494",2003/04
George Lynch,"$2,800,000",2003/04
Michael Curry,"$2,800,000",2003/04
Jason Richardson,"$2,789,280",2003/04
Nikoloz Tskitishvili,"$2,720,760",2003/04
Pat Garrity,"$2,643,750",2003/04
Greg Buckner,"$2,640,000",2003/04
Dwyane Wade,"$2,636,400",2003/04
Wang Zhizhi,"$2,620,943",2003/04
Pau Gasol,"$2,618,395",2003/04
John Amaechi,"$2,610,000",2003/04
Jamal Crawford,"$2,577,937",2003/04
Shane Battier,"$2,533,440",2003/04
Lucious Harris,"$2,500,000",2003/04
Earl Boykins,"$2,500,000",2003/04
Eric Piatkowski,"$2,500,000",2003/04
Predrag Drobnjak,"$2,500,000",2003/04
Andrew DeClercq,"$2,500,000",2003/04
Darrell Armstrong,"$2,475,000",2003/04
Dajuan Wagner,"$2,471,280",2003/04
Ira Newble,"$2,458,500",2003/04
Kevin Ollie,"$2,458,500",2003/04
